run,iteration,mae,rmse
1,2,86960909.99732804,177457420.2413702
1,3,152107798.66021457,290326968.54408324
1,4,132311240.1311789,256454005.46026158
1,5,55688428.5978067,107146829.35614865
2,2,86899949.62376909,178980648.28391343
2,3,153123571.5480844,292019468.1786734
2,4,138866283.1680064,267025851.04059023
2,5,79835621.52763471,137656290.9535106
3,2,85799144.03565744,177434772.37059543
3,3,152542572.5567399,293994320.4969876
3,4,153951323.8943527,270180947.2496673
3,5,52583217.599531315,102863662.81129129
4,2,87901236.40128855,179242721.8621457
4,3,148509781.8883668,288676488.56256074
4,4,134001665.08980815,257107910.89434153
4,5,53506430.728900276,105346051.58622421
5,2,85819432.2333595,178136267.48534864
5,3,150748237.45757565,294737259.73208255
5,4,134137097.34179409,260356363.1102166
5,5,55460234.560361765,106408263.30300666
6,2,84811766.33170027,182350230.83897808
6,3,152013868.57996368,290836357.1161727
6,4,129868676.88161965,251483958.18006682
6,5,54395709.6405094,104866298.93159737
7,2,86821743.60366338,177463038.10936442
7,3,152492726.73433942,295888158.01301885
7,4,136679705.59068745,259399709.99717072
7,5,58975392.37161205,113572035.35872592
8,2,84739233.62154259,174819763.55346325
8,3,147340116.9167008,287814159.7416548
8,4,131849438.44234627,251224497.52451834
8,5,53862748.3600144,103620106.3396865
9,2,86605899.43265796,177593883.97760612
9,3,149323393.17924747,292429949.3272031
9,4,130779615.6254825,253148442.83057627
9,5,71422133.70586939,125553279.08334199
10,2,85930436.170972,176692004.56040215
10,3,151172221.89616215,289183846.7938789
10,4,131792039.50869316,254380963.92689276
10,5,55640411.41237714,105917880.28909361
