run,iteration,n_estimators,max_depth,max_samples,max_features,mae,rmse
1,2,10,,0.25,0.25,103395438.4735,218549582.93881854
1,2,10,,0.25,0.5,84866913.76813334,176922920.18124047
1,2,10,,0.25,0.75,108232548.94203335,239732472.4935948
1,2,10,,0.25,1.0,87822689.48156667,178572461.60089907
1,2,10,,0.5,0.25,107491919.54643334,239166615.2407771
1,2,10,,0.5,0.5,95886658.8047667,188947199.877549
1,2,10,,0.5,0.75,103383479.66983332,200003048.93171462
1,2,10,,0.5,1.0,119155666.44779997,223889809.544959
1,2,10,,0.75,0.25,102835877.34566669,193858691.74501085
1,2,10,,0.75,0.5,117490202.77939999,235453145.11643848
1,2,10,,0.75,0.75,109444118.57776667,207550591.78979522
1,2,10,,0.75,1.0,116259799.6709333,215042641.55862004
1,2,10,,1.0,0.25,101826185.82423334,201259211.1876524
1,2,10,,1.0,0.5,119479172.71563335,235709927.15812558
1,2,10,,1.0,0.75,100921450.14500003,211985786.28956902
1,2,10,,1.0,1.0,99754400.35146667,206389655.3804276
1,2,10,5,0.25,0.25,100629327.79360001,193013363.9420001
1,2,10,5,0.25,0.5,111696301.65200001,214056912.5795821
1,2,10,5,0.25,0.75,113287747.47329998,218309637.06096616
1,2,10,5,0.25,1.0,98270546.4241,213718606.5920191
1,2,10,5,0.5,0.25,112620445.24336667,218644364.31733063
1,2,10,5,0.5,0.5,102802537.18543334,214318254.589361
1,2,10,5,0.5,0.75,97396208.90763332,195407604.36315152
1,2,10,5,0.5,1.0,97979147.10383332,195093733.02238607
1,2,10,5,0.75,0.25,106877169.2871,223743883.88564336
1,2,10,5,0.75,0.5,117760278.46540003,236696885.3837983
1,2,10,5,0.75,0.75,99707608.8523,198953042.66177472
1,2,10,5,0.75,1.0,85460753.46716666,183861919.67111292
1,2,10,5,1.0,0.25,105634855.21453334,207538176.48938617
1,2,10,5,1.0,0.5,85759458.54689999,172121475.88894707
1,2,10,5,1.0,0.75,135433693.69300005,273399202.79849184
1,2,10,5,1.0,1.0,117993395.18006666,237558799.82666144
1,2,10,10,0.25,0.25,99758544.29303332,194622415.92358115
1,2,10,10,0.25,0.5,114200006.6681,217392572.3458884
1,2,10,10,0.25,0.75,104424789.6681,202087047.174961
1,2,10,10,0.25,1.0,98628517.08833331,195416559.7323527
1,2,10,10,0.5,0.25,109977583.62776668,208137005.98000047
1,2,10,10,0.5,0.5,99677001.66330002,206311133.57910237
1,2,10,10,0.5,0.75,101494580.00696667,215209342.75177145
1,2,10,10,0.5,1.0,112599134.78373332,234098222.86029747
1,2,10,10,0.75,0.25,130272604.12313332,239970134.68778723
1,2,10,10,0.75,0.5,111236205.68586664,227981679.30120182
1,2,10,10,0.75,0.75,110385186.04680002,205375083.24862868
1,2,10,10,0.75,1.0,112053455.91760002,215631620.8630781
1,2,10,10,1.0,0.25,98362675.25536668,183919324.273474
1,2,10,10,1.0,0.5,112035829.74153334,203295216.40561503
