run,iteration,n_neighbors,mae,rmse
1,2,1,91120664.029,210751911.94268972
1,2,2,73003295.93975,171856401.15081573
1,2,3,73607044.57438889,169512568.8235648
1,2,4,84579911.08795835,180036914.5168215
1,2,5,89390353.12626667,181846322.29000303
1,3,1,140578926.55883333,289514589.12452
1,3,2,157723978.09341666,315974176.4255486
1,3,3,150320931.6627778,297991095.5409528
1,3,4,159341253.05320835,307883818.83962643
1,3,5,166604552.59166667,324659817.59661925
1,4,1,132206337.56449997,261605128.9726485
1,4,2,132835240.69783334,264405946.87651336
1,4,3,140850728.04227778,283284961.8327291
1,4,4,139860839.98716667,272112583.8959904
1,4,5,141133118.2742667,267935721.3089099
1,5,1,78290999.43466666,177960188.13403246
1,5,2,63018410.83499998,134655359.73358753
1,5,3,65712721.67288888,138990990.91303998
1,5,4,61375686.54087501,134785536.23475912
1,5,5,68471818.80526666,142057640.86595544
2,2,1,91120664.029,210751911.94268972
2,2,2,73003295.93975,171856401.15081573
2,2,3,73607044.57438889,169512568.8235648
2,2,4,84579911.08795835,180036914.5168215
2,2,5,89390353.12626667,181846322.29000303
2,3,1,140578926.55883333,289514589.12452
2,3,2,157723978.09341666,315974176.4255486
2,3,3,150320931.6627778,297991095.5409528
2,3,4,159341253.05320835,307883818.83962643
2,3,5,166604552.59166667,324659817.59661925
2,4,1,132206337.56449997,261605128.9726485
2,4,2,132835240.69783334,264405946.87651336
2,4,3,140850728.04227778,283284961.8327291
2,4,4,139860839.98716667,272112583.8959904
2,4,5,141133118.2742667,267935721.3089099
2,5,1,78290999.43466666,177960188.13403246
2,5,2,63018410.83499998,134655359.73358753
2,5,3,65712721.67288888,138990990.91303998
2,5,4,61375686.54087501,134785536.23475912
2,5,5,68471818.80526666,142057640.86595544
3,2,1,91120664.029,210751911.94268972
3,2,2,73003295.93975,171856401.15081573
3,2,3,73607044.57438889,169512568.8235648
3,2,4,84579911.08795835,180036914.5168215
3,2,5,89390353.12626667,181846322.29000303
3,3,1,140578926.55883333,289514589.12452
3,3,2,157723978.09341666,315974176.4255486
3,3,3,150320931.6627778,297991095.5409528
3,3,4,159341253.05320835,307883818.83962643
3,3,5,166604552.59166667,324659817.59661925
