run,iteration,mae,rmse
1,2,90139634.43816872,174874243.54460964
1,3,191393261.49374124,362068004.3723846
1,4,62285205.062853344,135826935.20910418
1,5,125497822.47454518,237230210.78639442
2,2,91035798.35458267,176032296.05137888
2,3,190598416.476956,361552498.2528348
2,4,64580010.97680194,137411222.0137547
2,5,126590804.52321965,237270921.9680385
3,2,90475194.21855621,175218554.52257767
3,3,191547836.7077986,363256015.21755165
3,4,67552208.26100105,142623133.04238605
3,5,123623347.37014662,235994338.5014038
4,2,88168790.87604596,172491447.90762758
4,3,191999353.32888088,362696714.6251784
4,4,71103680.48442562,147998203.56948045
4,5,122640830.0811779,232936112.7882597
5,2,91177285.39875011,176507370.41051832
5,3,194234314.7488246,368091681.1344844
5,4,66727506.86729153,140419304.24743453
5,5,136924918.00240156,252594823.1119992
6,2,89504169.35701294,173985247.828334
6,3,189551329.26126698,358999603.24645334
6,4,62026677.22143761,134108235.64319764
6,5,124898225.68438946,235847350.47955018
7,2,88220969.29177022,173838310.20924702
7,3,193326088.41142106,364356476.6560253
7,4,65798541.472820915,140335462.90533394
7,5,123768903.58174485,234770286.84935927
8,2,90213389.37556212,174980146.84055147
8,3,190071960.88377714,360125213.04427665
8,4,64116740.573765606,137412640.49023855
8,5,127608900.74556921,238537978.11423978
9,2,92192792.1358192,179176443.28703
9,3,194143719.22624564,367122171.150235
9,4,68312455.20182762,143959353.955899
9,5,130731556.46442445,241605240.4426659
10,2,92981704.61969982,179901555.81870162
10,3,193597360.66394165,365867085.19053674
10,4,64979758.24434358,138680045.13704768
10,5,127060818.00035058,239762823.81660682
