run,iteration,n_neighbors,mae,rmse
9,4,4,110055369.75233333,226179198.10016474
9,4,5,113836781.25024001,224055907.69815907
9,5,1,74632639.05786665,166452014.92739314
9,5,2,70888629.48426665,154545396.7104733
9,5,3,71416063.32453333,156751720.39960632
9,5,4,69976515.29366668,149527162.11003178
9,5,5,78181601.50216001,163727507.85655066
10,2,1,107730012.02853335,217499164.96444315
10,2,2,96416955.6652667,192298948.89872593
10,2,3,88113705.03840001,180176361.02804506
10,2,4,84823566.35649998,188516358.01968974
10,2,5,87467230.42069332,200678514.15241292
10,3,1,125592397.28733332,261646499.51825267
10,3,2,167316239.63146666,313089246.7215883
10,3,3,183695746.27968886,337895665.4912165
10,3,4,185627838.58333337,339323528.21229434
10,3,5,180959706.50613332,333349652.99718034
10,4,1,115887121.83720003,260377744.28140628
10,4,2,101297369.81520002,219030108.18788448
10,4,3,98000713.53044444,205547644.1762436
10,4,4,110055369.75233333,226179198.10016474
10,4,5,113836781.25024001,224055907.69815907
10,5,1,74632639.05786665,166452014.92739314
10,5,2,70888629.48426665,154545396.7104733
10,5,3,71416063.32453333,156751720.39960632
10,5,4,69976515.29366668,149527162.11003178
10,5,5,78181601.50216001,163727507.85655066
