run,iteration,n_neighbors,mae,rmse
1,2,1,120436816.60466665,304267928.0380733
1,2,2,130442611.75666666,253677060.52247763
1,2,3,136550492.73222223,275822974.1584236
1,2,4,139251155.2038333,288496777.6229606
1,2,5,150608789.10346666,298698080.6324747
1,3,1,167013996.88266665,361603912.1365608
1,3,2,156020348.12099996,308304585.4423428
1,3,3,192084743.1073334,355139229.320096
1,3,4,179298679.20366666,345321792.06282306
1,3,5,183941756.52306667,352487551.5749286
1,4,1,103184876.33866666,194270213.71300754
1,4,2,116153203.08233334,218859888.64482227
1,4,3,87026868.40644445,174649594.10328066
1,4,4,114296700.82000001,243186391.39451748
1,4,5,158631115.5250667,309458567.6525
1,5,1,68579661.758,160600528.86259443
1,5,2,59722981.335333325,108353291.57341531
1,5,3,55736813.240222216,99943400.50976937
1,5,4,64513915.472,137334470.35702008
1,5,5,68254954.4376,145193869.0426044
2,2,1,120436816.60466665,304267928.0380733
2,2,2,130442611.75666666,253677060.52247763
2,2,3,136550492.73222223,275822974.1584236
2,2,4,139251155.2038333,288496777.6229606
2,2,5,150608789.10346666,298698080.6324747
2,3,1,167013996.88266665,361603912.1365608
2,3,2,156020348.12099996,308304585.4423428
2,3,3,192084743.1073334,355139229.320096
2,3,4,179298679.20366666,345321792.06282306
2,3,5,183941756.52306667,352487551.5749286
2,4,1,103184876.33866666,194270213.71300754
2,4,2,116153203.08233334,218859888.64482227
2,4,3,87026868.40644445,174649594.10328066
2,4,4,114296700.82000001,243186391.39451748
2,4,5,158631115.5250667,309458567.6525
2,5,1,68579661.758,160600528.86259443
2,5,2,59722981.335333325,108353291.57341531
2,5,3,55736813.240222216,99943400.50976937
2,5,4,64513915.472,137334470.35702008
2,5,5,68254954.4376,145193869.0426044
3,2,1,120436816.60466665,304267928.0380733
3,2,2,130442611.75666666,253677060.52247763
3,2,3,136550492.73222223,275822974.1584236
3,2,4,139251155.2038333,288496777.6229606
3,2,5,150608789.10346666,298698080.6324747
3,3,1,167013996.88266665,361603912.1365608
3,3,2,156020348.12099996,308304585.4423428
3,3,3,192084743.1073334,355139229.320096
3,3,4,179298679.20366666,345321792.06282306
3,3,5,183941756.52306667,352487551.5749286
3,4,1,103184876.33866666,194270213.71300754
3,4,2,116153203.08233334,218859888.64482227
3,4,3,87026868.40644445,174649594.10328066
3,4,4,114296700.82000001,243186391.39451748
3,4,5,158631115.5250667,309458567.6525
3,5,1,68579661.758,160600528.86259443
3,5,2,59722981.335333325,108353291.57341531
3,5,3,55736813.240222216,99943400.50976937
3,5,4,64513915.472,137334470.35702008
3,5,5,68254954.4376,145193869.0426044
4,2,1,120436816.60466665,304267928.0380733
4,2,2,130442611.75666666,253677060.52247763
4,2,3,136550492.73222223,275822974.1584236
4,2,4,139251155.2038333,288496777.6229606
4,2,5,150608789.10346666,298698080.6324747
4,3,1,167013996.88266665,361603912.1365608
4,3,2,156020348.12099996,308304585.4423428
4,3,3,192084743.1073334,355139229.320096
4,3,4,179298679.20366666,345321792.06282306
4,3,5,183941756.52306667,352487551.5749286
4,4,1,103184876.33866666,194270213.71300754
4,4,2,116153203.08233334,218859888.64482227
4,4,3,87026868.40644445,174649594.10328066
4,4,4,114296700.82000001,243186391.39451748
4,4,5,158631115.5250667,309458567.6525
4,5,1,68579661.758,160600528.86259443
4,5,2,59722981.335333325,108353291.57341531
4,5,3,55736813.240222216,99943400.50976937
4,5,4,64513915.472,137334470.35702008
4,5,5,68254954.4376,145193869.0426044
5,2,1,120436816.60466665,304267928.0380733
5,2,2,130442611.75666666,253677060.52247763
5,2,3,136550492.73222223,275822974.1584236
5,2,4,139251155.2038333,288496777.6229606
5,2,5,150608789.10346666,298698080.6324747
5,3,1,167013996.88266665,361603912.1365608
5,3,2,156020348.12099996,308304585.4423428
5,3,3,192084743.1073334,355139229.320096
5,3,4,179298679.20366666,345321792.06282306
5,3,5,183941756.52306667,352487551.5749286
5,4,1,103184876.33866666,194270213.71300754
5,4,2,116153203.08233334,218859888.64482227
5,4,3,87026868.40644445,174649594.10328066
5,4,4,114296700.82000001,243186391.39451748
5,4,5,158631115.5250667,309458567.6525
5,5,1,68579661.758,160600528.86259443
5,5,2,59722981.335333325,108353291.57341531
5,5,3,55736813.240222216,99943400.50976937
5,5,4,64513915.472,137334470.35702008
5,5,5,68254954.4376,145193869.0426044
6,2,1,120436816.60466665,304267928.0380733
6,2,2,130442611.75666666,253677060.52247763
6,2,3,136550492.73222223,275822974.1584236
6,2,4,139251155.2038333,288496777.6229606
6,2,5,150608789.10346666,298698080.6324747
6,3,1,167013996.88266665,361603912.1365608
6,3,2,156020348.12099996,308304585.4423428
6,3,3,192084743.1073334,355139229.320096
6,3,4,179298679.20366666,345321792.06282306
6,3,5,183941756.52306667,352487551.5749286
6,4,1,103184876.33866666,194270213.71300754
6,4,2,116153203.08233334,218859888.64482227
6,4,3,87026868.40644445,174649594.10328066
6,4,4,114296700.82000001,243186391.39451748
6,4,5,158631115.5250667,309458567.6525
6,5,1,68579661.758,160600528.86259443
6,5,2,59722981.335333325,108353291.57341531
6,5,3,55736813.240222216,99943400.50976937
6,5,4,64513915.472,137334470.35702008
6,5,5,68254954.4376,145193869.0426044
7,2,1,120436816.60466665,304267928.0380733
7,2,2,130442611.75666666,253677060.52247763
7,2,3,136550492.73222223,275822974.1584236
7,2,4,139251155.2038333,288496777.6229606
7,2,5,150608789.10346666,298698080.6324747
7,3,1,167013996.88266665,361603912.1365608
7,3,2,156020348.12099996,308304585.4423428
7,3,3,192084743.1073334,355139229.320096
7,3,4,179298679.20366666,345321792.06282306
7,3,5,183941756.52306667,352487551.5749286
7,4,1,103184876.33866666,194270213.71300754
7,4,2,116153203.08233334,218859888.64482227
7,4,3,87026868.40644445,174649594.10328066
7,4,4,114296700.82000001,243186391.39451748
7,4,5,158631115.5250667,309458567.6525
7,5,1,68579661.758,160600528.86259443
7,5,2,59722981.335333325,108353291.57341531
7,5,3,55736813.240222216,99943400.50976937
7,5,4,64513915.472,137334470.35702008
7,5,5,68254954.4376,145193869.0426044
8,2,1,120436816.60466665,304267928.0380733
8,2,2,130442611.75666666,253677060.52247763
8,2,3,136550492.73222223,275822974.1584236
8,2,4,139251155.2038333,288496777.6229606
8,2,5,150608789.10346666,298698080.6324747
8,3,1,167013996.88266665,361603912.1365608
8,3,2,156020348.12099996,308304585.4423428
8,3,3,192084743.1073334,355139229.320096
8,3,4,179298679.20366666,345321792.06282306
8,3,5,183941756.52306667,352487551.5749286
8,4,1,103184876.33866666,194270213.71300754
8,4,2,116153203.08233334,218859888.64482227
8,4,3,87026868.40644445,174649594.10328066
8,4,4,114296700.82000001,243186391.39451748
8,4,5,158631115.5250667,309458567.6525
8,5,1,68579661.758,160600528.86259443
8,5,2,59722981.335333325,108353291.57341531
8,5,3,55736813.240222216,99943400.50976937
8,5,4,64513915.472,137334470.35702008
8,5,5,68254954.4376,145193869.0426044
9,2,1,120436816.60466665,304267928.0380733
9,2,2,130442611.75666666,253677060.52247763
9,2,3,136550492.73222223,275822974.1584236
9,2,4,139251155.2038333,288496777.6229606
9,2,5,150608789.10346666,298698080.6324747
9,3,1,167013996.88266665,361603912.1365608
9,3,2,156020348.12099996,308304585.4423428
9,3,3,192084743.1073334,355139229.320096
9,3,4,179298679.20366666,345321792.06282306
9,3,5,183941756.52306667,352487551.5749286
9,4,1,103184876.33866666,194270213.71300754
9,4,2,116153203.08233334,218859888.64482227
9,4,3,87026868.40644445,174649594.10328066
9,4,4,114296700.82000001,243186391.39451748
9,4,5,158631115.5250667,309458567.6525
9,5,1,68579661.758,160600528.86259443
9,5,2,59722981.335333325,108353291.57341531
9,5,3,55736813.240222216,99943400.50976937
9,5,4,64513915.472,137334470.35702008
9,5,5,68254954.4376,145193869.0426044
10,2,1,120436816.60466665,304267928.0380733
10,2,2,130442611.75666666,253677060.52247763
10,2,3,136550492.73222223,275822974.1584236
10,2,4,139251155.2038333,288496777.6229606
10,2,5,150608789.10346666,298698080.6324747
10,3,1,167013996.88266665,361603912.1365608
10,3,2,156020348.12099996,308304585.4423428
10,3,3,192084743.1073334,355139229.320096
10,3,4,179298679.20366666,345321792.06282306
10,3,5,183941756.52306667,352487551.5749286
10,4,1,103184876.33866666,194270213.71300754
10,4,2,116153203.08233334,218859888.64482227
10,4,3,87026868.40644445,174649594.10328066
10,4,4,114296700.82000001,243186391.39451748
10,4,5,158631115.5250667,309458567.6525
10,5,1,68579661.758,160600528.86259443
10,5,2,59722981.335333325,108353291.57341531
10,5,3,55736813.240222216,99943400.50976937
10,5,4,64513915.472,137334470.35702008
10,5,5,68254954.4376,145193869.0426044
