run,iteration,mae,rmse
1,2,115664311.10271366,215759893.18932807
1,3,265045358.33499822,473590728.03862715
1,4,118268218.20627344,225470880.42427972
1,5,90334840.3105648,172485393.22003695
2,2,115530567.91715942,218367017.77306017
2,3,272597368.9269735,488887721.9385739
2,4,91019525.96725912,206125198.9183803
2,5,89702979.21984379,173765069.99473688
3,2,119312631.37020831,223358461.1280261
3,3,271870105.461878,487186034.7827007
3,4,101139302.05364306,228240123.1121671
3,5,93199460.13349588,180857827.10525054
4,2,117367920.99529056,219659622.5924693
4,3,272247762.38149494,489951101.26659125
4,4,105822049.71551232,224408730.98723418
4,5,92543211.33021389,183149788.52073494
5,2,116439969.73972644,219122020.50173965
5,3,265363635.45479286,479298821.3354994
5,4,134074133.07302593,245494178.38425028
5,5,97090452.45677018,193195246.71862277
6,2,119643059.24248223,225154710.27996913
6,3,273253067.83821154,488238022.2882767
6,4,98681358.61550047,214645815.1648872
6,5,85217220.47395958,167453231.60671994
7,2,117693250.84340699,224758422.25856516
7,3,272884550.1982812,489034675.97044194
7,4,98523086.05402805,209121417.09309855
7,5,92318765.93462063,181820922.99349213
8,2,115630895.79438625,218692611.2153852
8,3,262646705.57929096,469311618.75625783
8,4,98893473.32979375,217130871.7582332
8,5,88338552.06819554,176928767.30806813
9,2,117014329.53211458,219831017.5474949
9,3,272283107.99530464,484774070.20857155
9,4,90776293.4286756,203384840.9516764
9,5,86602407.28082637,175416693.04130566
10,2,110751091.24622647,206749425.37927228
10,3,269330426.57732946,482014009.7595466
10,4,99131985.75373705,223383005.86011985
10,5,85397643.58778183,167001081.33351952
