run,iteration,n_estimators,max_depth,max_samples,max_features,mae,rmse
1,2,10,,0.25,0.25,111587843.46093337,217549660.921499
1,2,10,,0.25,0.5,125342870.2612889,248543731.7326207
1,2,10,,0.25,0.75,98833760.99706666,194620093.48019707
1,2,10,,0.25,1.0,107060969.90257777,205269131.86907193
1,2,10,,0.5,0.25,101674206.65768887,205231193.81450728
1,2,10,,0.5,0.5,95624934.06957777,183693366.06650263
1,2,10,,0.5,0.75,100126176.17922221,193643846.99012282
1,2,10,,0.5,1.0,124073920.9431111,241202735.11329392
1,2,10,,0.75,0.25,110489012.05182225,213225623.3107563
1,2,10,,0.75,0.5,110253673.47695553,212677503.77144656
1,2,10,,0.75,0.75,115716090.75448884,221261677.1139909
1,2,10,,0.75,1.0,91417523.20984446,180801401.65141562
1,2,10,,1.0,0.25,103475896.15517779,204234694.514786
1,2,10,,1.0,0.5,100061594.6117778,193507990.94623137
1,2,10,,1.0,0.75,111300069.88984446,219700224.59010914
1,2,10,,1.0,1.0,108423250.24457775,210306691.9333959
1,2,10,5,0.25,0.25,118029879.88786666,228206400.84055603
1,2,10,5,0.25,0.5,120507992.39973335,236022404.57272106
1,2,10,5,0.25,0.75,95753368.61864443,188844944.0021161
1,2,10,5,0.25,1.0,110545469.57704443,219060096.87224218
1,2,10,5,0.5,0.25,102493681.45655556,198630315.2441037
1,2,10,5,0.5,0.5,105957008.39948891,203927302.95704994
1,2,10,5,0.5,0.75,111676932.82855554,213369062.30705783
1,2,10,5,0.5,1.0,127370685.08419998,238524831.2270507
1,2,10,5,0.75,0.25,101375076.74346666,200474440.60926697
1,2,10,5,0.75,0.5,109895091.41053335,211027326.8956298
1,2,10,5,0.75,0.75,115677443.32939996,224230002.1565602
1,2,10,5,0.75,1.0,103906658.66477777,206138842.2910377
1,2,10,5,1.0,0.25,109703340.8225889,216250735.04021183
1,2,10,5,1.0,0.5,115948511.73553331,228268081.59420043
1,2,10,5,1.0,0.75,114437561.55688149,214616617.52461764
1,2,10,5,1.0,1.0,103287798.6359111,201467619.07868648
1,2,10,10,0.25,0.25,98652423.25648887,191830049.56396273
1,2,10,10,0.25,0.5,113870327.54433335,213311756.062735
1,2,10,10,0.25,0.75,114938147.49435554,232954820.5544723
1,2,10,10,0.25,1.0,112185883.64497775,223935460.94105786
1,2,10,10,0.5,0.25,100377158.51568888,190413383.43610764
1,2,10,10,0.5,0.5,114034857.4215111,226306042.5519828
1,2,10,10,0.5,0.75,100963573.38037778,208268577.94807458
1,2,10,10,0.5,1.0,97535752.71033333,195325371.63496935
1,2,10,10,0.75,0.25,105497328.7591111,204179072.0489404
1,2,10,10,0.75,0.5,108234907.50039999,212674352.43433112
1,2,10,10,0.75,0.75,88465817.02233332,171455778.7585008
1,2,10,10,0.75,1.0,116849471.2020667,228602413.12182593
1,2,10,10,1.0,0.25,107651903.27211112,203397796.66768056
1,2,10,10,1.0,0.5,100685145.76015556,198010758.29511783
1,2,10,10,1.0,0.75,117635541.4446222,236635489.0336313
1,2,10,10,1.0,1.0,105917335.34186669,211504372.31038806
1,2,10,15,0.25,0.25,109255633.43091111,218277784.0676371
1,2,10,15,0.25,0.5,112947068.51473333,220699092.4117782
1,2,10,15,0.25,0.75,93721610.49184446,197444439.12858686
1,2,10,15,0.25,1.0,116488454.88633333,244315406.56837675
1,2,10,15,0.5,0.25,90981140.8656889,179554997.20468694
1,2,10,15,0.5,0.5,101477670.77442223,205397900.96336728
1,2,10,15,0.5,0.75,116667689.43033333,232482745.57316655
1,2,10,15,0.5,1.0,91577758.59188886,183910012.9291891
1,2,10,15,0.75,0.25,101175291.58040003,200791423.7797626
1,2,10,15,0.75,0.5,99481156.63037775,204622362.21279275
1,2,10,15,0.75,0.75,114245736.44673336,216098198.53696632
1,2,10,15,0.75,1.0,98141362.36653338,186150807.71830615
1,2,10,15,1.0,0.25,105457062.53324445,208152297.86916205
1,2,10,15,1.0,0.5,121258880.86704445,231933253.8802308
1,2,10,15,1.0,0.75,107048045.4060889,218968294.63465932
1,2,10,15,1.0,1.0,113133504.78691114,215513905.26412356
1,2,50,,0.25,0.25,107710023.41769332,207467291.82069394
1,2,50,,0.25,0.5,109607369.33042221,215687753.43425867
1,2,50,,0.25,0.75,108618422.13448887,210455219.0741278
1,2,50,,0.25,1.0,110691523.17470223,212064194.69056344
1,2,50,,0.5,0.25,112108301.7261511,214308075.49763885
1,2,50,,0.5,0.5,105978888.4114,208753218.490803
1,2,50,,0.5,0.75,100434289.74460888,193709532.78623417
1,2,50,,0.5,1.0,101452821.03704888,190167650.26792896
1,2,50,,0.75,0.25,110341677.99205337,214839507.21941164
1,2,50,,0.75,0.5,97181143.49091554,187861564.3361449
1,2,50,,0.75,0.75,102106151.49317777,201120578.8185961
1,2,50,,0.75,1.0,112224643.60100885,216402418.72152272
1,2,50,,1.0,0.25,106554042.13523555,203892824.36454663
1,2,50,,1.0,0.5,104112679.95052,203216108.55374816
1,2,50,,1.0,0.75,106005295.81387556,210073836.80680144
1,2,50,,1.0,1.0,113950599.83446668,230271026.99653772
1,2,50,5,0.25,0.25,112330763.3673289,217757028.48587745
1,2,50,5,0.25,0.5,115417976.76217334,227309028.3632206
1,2,50,5,0.25,0.75,119824910.55717777,232734490.73918357
1,2,50,5,0.25,1.0,101154887.9466489,198899780.8413418
1,2,50,5,0.5,0.25,105697384.24024886,203435309.2906932
1,2,50,5,0.5,0.5,106926895.05589779,204631695.43233976
1,2,50,5,0.5,0.75,105798960.34799998,202192417.9580363
1,2,50,5,0.5,1.0,99359548.45935111,194952345.30589354
1,2,50,5,0.75,0.25,100406094.7949022,192151288.93938494
1,2,50,5,0.75,0.5,99367499.47239333,191485663.2540409
1,2,50,5,0.75,0.75,104220832.56328444,203543260.24129578
1,2,50,5,0.75,1.0,103122015.21760587,201254899.83820128
1,2,50,5,1.0,0.25,103858045.76652664,200126163.7052391
1,2,50,5,1.0,0.5,97084354.9202915,186539712.39907712
1,2,50,5,1.0,0.75,106526229.88119553,204879904.85009828
1,2,50,5,1.0,1.0,109561498.66966848,207425170.37656924
1,2,50,10,0.25,0.25,114620768.55287997,223663287.04807767
1,2,50,10,0.25,0.5,103663136.83069776,207017521.53305125
1,2,50,10,0.25,0.75,106125133.31185333,205725366.17770204
1,2,50,10,0.25,1.0,112035299.61753778,214978649.58133197
1,2,50,10,0.5,0.25,109172232.73599553,209163226.6761815
1,2,50,10,0.5,0.5,99942593.19412889,192479020.45146033
1,2,50,10,0.5,0.75,105662954.96216004,201130481.90547577
1,2,50,10,0.5,1.0,110423339.00468445,211802987.4278981
1,2,50,10,0.75,0.25,105367254.96876442,203321804.6155926
1,2,50,10,0.75,0.5,104420845.17640446,204029853.16633943
1,2,50,10,0.75,0.75,110057180.9575511,211935143.41469976
1,2,50,10,0.75,1.0,109389689.27612,211287680.9923636
1,2,50,10,1.0,0.25,102971552.01123555,198173179.9426719
1,2,50,10,1.0,0.5,97686033.26596446,196304009.47155747
1,2,50,10,1.0,0.75,106871550.91623111,208935855.74712
1,2,50,10,1.0,1.0,105463459.22272891,212241120.07885718
1,2,50,15,0.25,0.25,112413090.3888311,222083899.11159253
1,2,50,15,0.25,0.5,108583109.01626225,214040521.8929475
1,2,50,15,0.25,0.75,111604833.03239556,215744824.2022314
1,2,50,15,0.25,1.0,105481576.45544003,208674752.98800954
1,2,50,15,0.5,0.25,102691110.70743556,203462443.43620643
1,2,50,15,0.5,0.5,99599083.43128891,198050798.56201863
1,2,50,15,0.5,0.75,108611047.59658222,206505719.38636675
1,2,50,15,0.5,1.0,113984235.36522222,218679111.9392892
1,2,50,15,0.75,0.25,107099303.33080447,205141362.6539828
1,2,50,15,0.75,0.5,102852786.05070668,191411052.35842872
1,2,50,15,0.75,0.75,109931828.36989777,210457665.85951987
1,2,50,15,0.75,1.0,102537977.7540222,201221652.01216587
1,2,50,15,1.0,0.25,104283425.61117333,201639350.90679964
1,2,50,15,1.0,0.5,103562176.80413334,198285790.18510816
1,2,50,15,1.0,0.75,107844044.92102219,207063376.5863886
1,2,50,15,1.0,1.0,107624448.99004443,210896431.9386993
1,2,100,,0.25,0.25,105705930.85633558,206379981.775009
1,2,100,,0.25,0.5,111843630.19054002,213713378.2191045
1,2,100,,0.25,0.75,106947432.76893109,207613250.81627908
1,2,100,,0.25,1.0,104930861.86108,203220338.88384667
1,2,100,,0.5,0.25,106417571.15840447,205398553.96200612
1,2,100,,0.5,0.5,108665705.71074893,208625194.18800166
1,2,100,,0.5,0.75,107198193.13234003,205731148.40194663
1,2,100,,0.5,1.0,108376712.71114445,205106273.20704827
1,2,100,,0.75,0.25,107781318.42717998,205444491.5551703
1,2,100,,0.75,0.5,111800957.6840934,209566495.9493035
1,2,100,,0.75,0.75,103504046.00908446,196464972.52633792
1,2,100,,0.75,1.0,109108371.42398447,209520105.31923258
1,2,100,,1.0,0.25,107758364.46676223,207848453.74142066
1,2,100,,1.0,0.5,108571015.05996664,206760555.44924143
1,2,100,,1.0,0.75,109396088.94307779,214762329.08782834
1,2,100,,1.0,1.0,108677669.91541111,215576225.8786954
1,2,100,5,0.25,0.25,112278561.18522663,215292062.709042
1,2,100,5,0.25,0.5,105860385.88383555,208590755.26239032
1,2,100,5,0.25,0.75,108525591.28153558,211734122.90185252
1,2,100,5,0.25,1.0,109017911.48447998,211060450.80793697
1,2,100,5,0.5,0.25,108753974.80915995,206118976.5539163
1,2,100,5,0.5,0.5,105679169.36291331,202586359.62262607
1,2,100,5,0.5,0.75,107996464.40288447,205659965.60286355
1,2,100,5,0.5,1.0,103973456.85534893,197503328.8117705
1,2,100,5,0.75,0.25,106582840.59445556,205374923.6330734
1,2,100,5,0.75,0.5,103217875.3436267,199347775.35244966
1,2,100,5,0.75,0.75,101889504.01581551,198147736.2053979
1,2,100,5,0.75,1.0,103957899.3866467,198695709.05889833
1,2,100,5,1.0,0.25,107997454.58612005,204275033.31241292
1,2,100,5,1.0,0.5,106137859.98243201,202376846.0460488
1,2,100,5,1.0,0.75,106945910.49130757,208285044.73138103
1,2,100,5,1.0,1.0,111406303.80490334,215369959.74196684
1,2,100,10,0.25,0.25,112536702.6378289,216819666.58507508
1,2,100,10,0.25,0.5,107337029.53676666,206550901.65173927
1,2,100,10,0.25,0.75,109717584.75552668,214560176.3415226
1,2,100,10,0.25,1.0,110447344.23360892,214945715.94718558
1,2,100,10,0.5,0.25,104473978.1566689,201333127.44631642
1,2,100,10,0.5,0.5,107604084.92022002,204974866.40918455
1,2,100,10,0.5,0.75,103910606.48715113,199286748.0331398
1,2,100,10,0.5,1.0,104134442.01764673,203871170.51146582
1,2,100,10,0.75,0.25,105651656.18175781,202894238.87849134
1,2,100,10,0.75,0.5,103729847.55531333,197361144.78522626
1,2,100,10,0.75,0.75,109577463.56807779,206309960.75609353
1,2,100,10,0.75,1.0,109171086.34669109,210353790.30707413
1,2,100,10,1.0,0.25,109503597.65180446,204838498.44758457
1,2,100,10,1.0,0.5,107773426.95377553,206265946.5606403
1,2,100,10,1.0,0.75,107236811.5403,211109861.29058355
1,2,100,10,1.0,1.0,105271226.80517334,212379258.114668
1,2,100,15,0.25,0.25,106900014.45053335,208017357.66215888
1,2,100,15,0.25,0.5,107159897.63967781,207073665.36850193
1,2,100,15,0.25,0.75,108945504.13556446,208635919.6309005
1,2,100,15,0.25,1.0,111756766.49335112,212665816.6126924
1,2,100,15,0.5,0.25,107790778.1836422,206806645.98161373
1,2,100,15,0.5,0.5,104909970.60922891,204695309.0566735
1,2,100,15,0.5,0.75,106108736.76643778,202768953.3384615
1,2,100,15,0.5,1.0,104677146.64502889,198509579.9765873
1,2,100,15,0.75,0.25,105337729.49688222,201708297.72778195
1,2,100,15,0.75,0.5,104422131.27679777,200780269.82456535
1,2,100,15,0.75,0.75,104458523.50503331,200135507.5351397
1,2,100,15,0.75,1.0,110948999.82753108,210703830.11574966
1,2,100,15,1.0,0.25,107567796.58376886,208503093.45871133
1,2,100,15,1.0,0.5,105852018.52382888,204283283.91195753
1,2,100,15,1.0,0.75,104023535.26072447,205397047.53721318
1,2,100,15,1.0,1.0,109224130.64474219,214449890.58632222
1,3,10,,0.25,0.25,297353401.67093337,546744226.3291831
1,3,10,,0.25,0.5,271409887.08628887,495073577.6119346
1,3,10,,0.25,0.75,275890042.38042223,511584436.33344626
1,3,10,,0.25,1.0,316668099.33415556,594559762.7203548
1,3,10,,0.5,0.25,285246729.6748222,553677550.7857507
1,3,10,,0.5,0.5,282564191.8450666,548320257.5638844
1,3,10,,0.5,0.75,271126343.5168,518965841.6636668
1,3,10,,0.5,1.0,299792688.51455563,560372925.7127964
1,3,10,,0.75,0.25,282450394.07206666,519335876.57377845
1,3,10,,0.75,0.5,292567693.6784222,555200745.4919182
1,3,10,,0.75,0.75,249866882.02913335,479662907.5359165
1,3,10,,0.75,1.0,276088528.0367111,513965387.2740728
1,3,10,,1.0,0.25,286159341.2110222,533906884.8603406
1,3,10,,1.0,0.5,280345143.46482223,518369510.0876918
1,3,10,,1.0,0.75,283794667.4702,523277083.97047824
1,3,10,,1.0,1.0,264341553.82360002,501588966.94431204
1,3,10,5,0.25,0.25,297408732.9749334,560284920.7873411
1,3,10,5,0.25,0.5,306526946.1562223,574769859.1853645
1,3,10,5,0.25,0.75,309441821.2197334,575890973.8651526
1,3,10,5,0.25,1.0,348916964.5219111,630444276.5265443
1,3,10,5,0.5,0.25,288994092.2272333,549742829.3663077
1,3,10,5,0.5,0.5,252073374.73375556,478563391.169148
1,3,10,5,0.5,0.75,310502586.72008884,574174353.7060758
1,3,10,5,0.5,1.0,334997864.9339445,621316252.730901
1,3,10,5,0.75,0.25,294089925.26812226,555082201.3589715
1,3,10,5,0.75,0.5,266280530.03389332,510410418.15425956
1,3,10,5,0.75,0.75,321491324.51986855,589554415.6110579
1,3,10,5,0.75,1.0,256454357.48766664,491712727.7821132
1,3,10,5,1.0,0.25,287856627.64569336,544691219.5127342
1,3,10,5,1.0,0.5,280568055.6732349,522312816.8125095
1,3,10,5,1.0,0.75,274943602.51194626,517648463.8475208
1,3,10,5,1.0,1.0,278133247.9411963,521403970.6270901
1,3,10,10,0.25,0.25,294358266.18113333,539271631.8493454
1,3,10,10,0.25,0.5,287184073.74153334,543079382.3618537
1,3,10,10,0.25,0.75,330393519.0522222,610716178.6213943
1,3,10,10,0.25,1.0,325330018.5452889,591699177.3742704
1,3,10,10,0.5,0.25,287196599.48988897,528905432.5660184
1,3,10,10,0.5,0.5,317641745.57586664,595919697.7653704
1,3,10,10,0.5,0.75,288078489.69828886,539148303.0021447
1,3,10,10,0.5,1.0,300286414.52357775,547704192.1548706
1,3,10,10,0.75,0.25,245537494.68813336,467981558.42000854
1,3,10,10,0.75,0.5,278882190.2254445,505858602.2764256
1,3,10,10,0.75,0.75,289343749.0452667,552674356.5612924
1,3,10,10,0.75,1.0,292714637.20528895,549617777.0698214
1,3,10,10,1.0,0.25,291941920.6448444,544435505.7931831
1,3,10,10,1.0,0.5,251097238.7445778,468091294.48455507
1,3,10,10,1.0,0.75,302550540.1135334,564428803.7100463
1,3,10,10,1.0,1.0,251327625.98691118,483217813.50361973
1,3,10,15,0.25,0.25,314183435.1814889,582808491.9369167
1,3,10,15,0.25,0.5,316195604.6244889,582943386.9720374
1,3,10,15,0.25,0.75,294591512.3354444,551469318.2845509
1,3,10,15,0.25,1.0,296566380.46202224,547554404.0455189
1,3,10,15,0.5,0.25,258915109.6784445,475769395.13440734
1,3,10,15,0.5,0.5,282296764.11113334,520688884.34098274
