run,iteration,hidden_layer_size_layer_1,hidden_layer_size_layer_2,activation,learning_rate,l2_regularization,mae,rmse
1,2,10,,logistic,0.0001,1e-05,272646887.25390494,405118620.27018887
1,2,10,,logistic,0.0001,0.0001,272646888.1939213,405118620.7371575
1,2,10,,logistic,0.001,1e-05,272646880.77150136,405118615.9245266
1,2,10,,logistic,0.001,0.0001,272646882.18106776,405118616.66264147
1,2,10,,logistic,0.01,1e-05,272646808.55763686,405118565.7721287
1,2,10,,logistic,0.01,0.0001,272646830.3610493,405118580.9569497
1,2,10,,relu,0.0001,1e-05,272646872.2773078,405118608.23019904
1,2,10,,relu,0.0001,0.0001,272646881.7589925,405118608.64117014
1,2,10,,relu,0.001,1e-05,272646246.45026934,405118149.621136
1,2,10,,relu,0.001,0.0001,272645938.99804825,405117921.8216378
1,2,10,,relu,0.01,1e-05,272566207.2929961,405060724.08250445
1,2,10,,relu,0.01,0.0001,272533891.07927626,405037564.6957278
1,2,10,,tanh,0.0001,1e-05,272646886.77318364,405118619.9580319
1,2,10,,tanh,0.0001,0.0001,272646886.6158992,405118619.31721663
1,2,10,,tanh,0.001,1e-05,272646876.32770735,405118611.9315531
1,2,10,,tanh,0.001,0.0001,272646877.2190415,405118612.89934415
1,2,10,,tanh,0.01,1e-05,272646781.77894944,405118546.03454304
1,2,10,,tanh,0.01,0.0001,272646782.31630236,405118546.7413975
1,2,10,10,logistic,0.0001,1e-05,272646887.9502969,405118620.6841031
1,2,10,10,logistic,0.0001,0.0001,272646887.6994558,405118620.5006862
1,2,10,10,logistic,0.001,1e-05,272646877.2587294,405118613.51269996
1,2,10,10,logistic,0.001,0.0001,272646876.7791434,405118613.1048733
1,2,10,10,logistic,0.01,1e-05,272646779.08277804,405118545.30824417
1,2,10,10,logistic,0.01,0.0001,272646775.8197897,405118543.51081914
1,2,10,10,relu,0.0001,1e-05,272646853.79412955,405118583.0416459
1,2,10,10,relu,0.0001,0.0001,272646883.34760445,405118615.6668157
1,2,10,10,relu,0.001,1e-05,272639254.1147122,405112793.70253736
1,2,10,10,relu,0.001,0.0001,272642207.32717574,405115267.54257834
1,2,10,10,relu,0.01,1e-05,265518938.35050455,400023728.43671423
1,2,10,10,relu,0.01,0.0001,246419718.94573376,386847763.91383797
1,2,10,10,tanh,0.0001,1e-05,272646886.8170987,405118618.7756451
1,2,10,10,tanh,0.0001,0.0001,272646886.92004865,405118619.6737524
1,2,10,10,tanh,0.001,1e-05,272646876.60644275,405118612.4093227
1,2,10,10,tanh,0.001,0.0001,272646876.5327819,405118612.70172095
1,2,10,10,tanh,0.01,1e-05,272646781.22273326,405118546.2094045
1,2,10,10,tanh,0.01,0.0001,272646780.6590435,405118546.05615526
1,2,50,,logistic,0.0001,1e-05,272646884.1892259,405118618.02781
1,2,50,,logistic,0.0001,0.0001,272646884.72494316,405118618.1474857
1,2,50,,logistic,0.001,1e-05,272646840.4611622,405118588.13524747
1,2,50,,logistic,0.001,0.0001,272646842.50868386,405118589.37231064
1,2,50,,logistic,0.01,1e-05,272646420.07648236,405118298.015416
1,2,50,,logistic,0.01,0.0001,272646403.77805245,405118286.2006839
1,2,50,,relu,0.0001,1e-05,272646834.4877877,405118575.3089703
1,2,50,,relu,0.0001,0.0001,272646834.8179393,405118572.31236476
1,2,50,,relu,0.001,1e-05,272642807.5162476,405115737.9723515
1,2,50,,relu,0.001,0.0001,272643211.48668647,405115939.78053
1,2,50,,relu,0.01,1e-05,272239533.79649156,404829089.1753846
1,2,50,,relu,0.01,0.0001,272239612.7511828,404829112.94354177
1,2,50,,tanh,0.0001,1e-05,272646880.8950721,405118614.15822816
1,2,50,,tanh,0.0001,0.0001,272646881.1371974,405118614.2353779
1,2,50,,tanh,0.001,1e-05,272646834.5937384,405118582.66050595
1,2,50,,tanh,0.001,0.0001,272646835.26130897,405118582.7461188
1,2,50,,tanh,0.01,1e-05,272646392.1762822,405118275.9879457
1,2,50,,tanh,0.01,0.0001,272646392.0798713,405118276.07050514
1,2,100,,logistic,0.0001,1e-05,272646881.540344,405118615.4967369
1,2,100,,logistic,0.0001,0.0001,272646880.448487,405118614.8795338
1,2,100,,logistic,0.001,1e-05,272646787.9740747,405118551.87228847
1,2,100,,logistic,0.001,0.0001,272646787.6447055,405118551.0963085
1,2,100,,logistic,0.01,1e-05,272645894.68640244,405117934.22707736
1,2,100,,logistic,0.01,0.0001,272645892.6726241,405117932.69987535
1,2,100,,relu,0.0001,1e-05,272646802.5190855,405118552.95520043
1,2,100,,relu,0.0001,0.0001,272646808.7158024,405118553.0239604
1,2,100,,relu,0.001,1e-05,272638565.7425894,405112594.171824
1,2,100,,relu,0.001,0.0001,272638147.4664491,405112292.0745979
1,2,100,,relu,0.01,1e-05,271881083.61079085,404574537.9102681
1,2,100,,relu,0.01,0.0001,271734542.5456491,404470645.6691221
1,2,100,,tanh,0.0001,1e-05,272646874.13348013,405118607.99192905
1,2,100,,tanh,0.0001,0.0001,272646874.2118677,405118608.4018668
1,2,100,,tanh,0.001,1e-05,272646785.5042084,405118546.7350331
1,2,100,,tanh,0.001,0.0001,272646784.7695527,405118546.541739
1,2,100,,tanh,0.01,1e-05,272645906.49283034,405117939.14710116
1,2,100,,tanh,0.01,0.0001,272645906.76076007,405117939.95386565
1,2,150,,logistic,0.0001,1e-05,272646874.62160116,405118610.7126465
1,2,150,,logistic,0.0001,0.0001,272646876.1912856,405118612.02129775
1,2,150,,logistic,0.001,1e-05,272646732.6461455,405118513.47590035
1,2,150,,logistic,0.001,0.0001,272646730.9236939,405118512.4279468
1,2,150,,logistic,0.01,1e-05,272645395.2588028,405117588.2199174
1,2,150,,logistic,0.01,0.0001,272645390.0633362,405117584.99152696
1,2,150,,relu,0.0001,1e-05,272646785.5941157,405118536.4204097
1,2,150,,relu,0.0001,0.0001,272646749.1135645,405118505.5523455
1,2,150,,relu,0.001,1e-05,272636005.1387777,405110805.6515452
1,2,150,,relu,0.001,0.0001,272633301.0806064,405108773.97860634
1,2,150,,relu,0.01,1e-05,271327622.7556192,404181906.9918743
1,2,150,,relu,0.01,0.0001,271246994.8054015,404124391.5283446
1,2,150,,tanh,0.0001,1e-05,272646868.1103904,405118603.22045577
1,2,150,,tanh,0.0001,0.0001,272646868.37460446,405118603.35877
1,2,150,,tanh,0.001,1e-05,272646735.17901224,405118511.1904673
1,2,150,,tanh,0.001,0.0001,272646734.7521581,405118511.1717257
1,2,150,,tanh,0.01,1e-05,272645421.8395173,405117603.366699
1,2,150,,tanh,0.01,0.0001,272645422.2619653,405117603.36312735
1,2,50,50,logistic,0.0001,1e-05,272646885.3755531,405118618.5681058
1,2,50,50,logistic,0.0001,0.0001,272646884.52341175,405118618.42864144
1,2,50,50,logistic,0.001,1e-05,272646840.94990724,405118588.1992343
