run,iteration,hidden_layer_size_layer_1,hidden_layer_size_layer_2,activation,learning_rate,l2_regularization,mae,rmse
1,2,10,,logistic,0.0001,1e-05,322378228.13400716,463180726.98055637
1,2,10,,logistic,0.0001,0.0001,322378229.4340014,463180727.9171342
1,2,10,,logistic,0.001,1e-05,322378223.9839273,463180724.26756215
1,2,10,,logistic,0.001,0.0001,322378220.01988,463180721.8703011
1,2,10,,logistic,0.01,1e-05,322378131.88571036,463180660.7425587
1,2,10,,logistic,0.01,0.0001,322378144.72301656,463180669.5553215
1,2,10,,relu,0.0001,1e-05,322378221.73527616,463180719.240034
1,2,10,,relu,0.0001,0.0001,322378224.0982203,463180720.66933465
1,2,10,,relu,0.001,1e-05,322377429.9815097,463180158.29342824
1,2,10,,relu,0.001,0.0001,322377369.36278766,463180083.73500997
1,2,10,,relu,0.01,1e-05,322260946.00723827,463096589.84484625
1,2,10,,relu,0.01,0.0001,322294569.1421659,463120589.8541407
1,2,10,,tanh,0.0001,1e-05,322378229.12256527,463180727.31913835
1,2,10,,tanh,0.0001,0.0001,322378227.77515155,463180726.3605374
1,2,10,,tanh,0.001,1e-05,322378218.56686294,463180718.90985435
1,2,10,,tanh,0.001,0.0001,322378217.6687786,463180719.05510736
1,2,10,,tanh,0.01,1e-05,322378121.7981579,463180652.0819958
1,2,10,,tanh,0.01,0.0001,322378121.88181174,463180651.9808409
1,2,10,10,logistic,0.0001,1e-05,322378229.237239,463180728.1537483
1,2,10,10,logistic,0.0001,0.0001,322378229.2826764,463180728.20873064
1,2,10,10,logistic,0.001,1e-05,322378217.8265042,463180720.3996035
1,2,10,10,logistic,0.001,0.0001,322378218.41857827,463180720.3850533
1,2,10,10,logistic,0.01,1e-05,322378117.4540501,463180650.1200918
1,2,10,10,logistic,0.01,0.0001,322378118.740279,463180651.1750423
1,2,10,10,relu,0.0001,1e-05,322378217.92051876,463180706.31850153
1,2,10,10,relu,0.0001,0.0001,322378218.37659377,463180710.6100351
1,2,10,10,relu,0.001,1e-05,322363640.7681081,463169809.91042733
1,2,10,10,relu,0.001,0.0001,322362781.5605356,463169650.6457618
1,2,10,10,relu,0.01,1e-05,309982494.169352,454455381.39458877
1,2,10,10,relu,0.01,0.0001,310588369.9314317,454777395.6893179
1,2,10,10,tanh,0.0001,1e-05,322378228.3429832,463180726.3725364
1,2,10,10,tanh,0.0001,0.0001,322378228.11572474,463180726.30844915
1,2,10,10,tanh,0.001,1e-05,322378218.0867492,463180719.24438536
1,2,10,10,tanh,0.001,0.0001,322378216.8145249,463180718.49289834
1,2,10,10,tanh,0.01,1e-05,322378120.0404206,463180650.9766317
1,2,10,10,tanh,0.01,0.0001,322378120.0975428,463180651.8403984
1,2,50,,logistic,0.0001,1e-05,322378226.1106727,463180725.783478
1,2,50,,logistic,0.0001,0.0001,322378225.81788546,463180725.1406818
1,2,50,,logistic,0.001,1e-05,322378187.7351606,463180699.34021693
1,2,50,,logistic,0.001,0.0001,322378186.27123094,463180698.0496208
1,2,50,,logistic,0.01,1e-05,322377738.4377821,463180383.3054294
1,2,50,,logistic,0.01,0.0001,322377729.13736415,463180378.28807914
1,2,50,,relu,0.0001,1e-05,322378172.31961495,463180679.92395747
1,2,50,,relu,0.0001,0.0001,322378177.1125205,463180681.8090785
1,2,50,,relu,0.001,1e-05,322373294.34031373,463177139.5927174
1,2,50,,relu,0.001,0.0001,322373965.92234284,463177647.5218975
1,2,50,,relu,0.01,1e-05,321922437.4294295,462856520.76883715
1,2,50,,relu,0.01,0.0001,321855239.76838255,462808499.62097067
1,2,50,,tanh,0.0001,1e-05,322378222.0012576,463180720.2583685
1,2,50,,tanh,0.0001,0.0001,322378221.30205065,463180720.3270589
1,2,50,,tanh,0.001,1e-05,322378175.6572457,463180688.6171593
1,2,50,,tanh,0.001,0.0001,322378176.3473263,463180688.4035121
1,2,50,,tanh,0.01,1e-05,322377732.4825838,463180376.53813547
1,2,50,,tanh,0.01,0.0001,322377731.9174374,463180376.5053135
1,2,100,,logistic,0.0001,1e-05,322378222.0726167,463180722.75278026
1,2,100,,logistic,0.0001,0.0001,322378220.5449328,463180721.32531947
1,2,100,,logistic,0.001,1e-05,322378126.0703928,463180656.0732377
1,2,100,,logistic,0.001,0.0001,322378129.16351265,463180658.04611796
1,2,100,,logistic,0.01,1e-05,322377227.86923176,463180025.07793397
1,2,100,,logistic,0.01,0.0001,322377223.77373886,463180022.0285263
1,2,100,,relu,0.0001,1e-05,322378121.5269008,463180637.4177727
1,2,100,,relu,0.0001,0.0001,322378141.0181208,463180655.35822606
1,2,100,,relu,0.001,1e-05,322369359.96926737,463174201.9998671
1,2,100,,relu,0.001,0.0001,322367845.445413,463173234.5530216
1,2,100,,relu,0.01,1e-05,321619086.851444,462640447.65872633
1,2,100,,relu,0.01,0.0001,321500473.0327015,462556548.8671145
1,2,100,,tanh,0.0001,1e-05,322378215.8770303,463180714.91930676
1,2,100,,tanh,0.0001,0.0001,322378213.9795461,463180714.6951189
1,2,100,,tanh,0.001,1e-05,322378123.38127166,463180652.0765498
1,2,100,,tanh,0.001,0.0001,322378126.2478305,463180652.0374179
1,2,100,,tanh,0.01,1e-05,322377244.9051443,463180031.5673094
1,2,100,,tanh,0.01,0.0001,322377245.6910133,463180032.03898
1,2,150,,logistic,0.0001,1e-05,322378217.43480283,463180719.2084884
1,2,150,,logistic,0.0001,0.0001,322378216.4870452,463180718.18930453
1,2,150,,logistic,0.001,1e-05,322378071.82339996,463180618.65983564
1,2,150,,logistic,0.001,0.0001,322378072.3231407,463180619.0172654
1,2,150,,logistic,0.01,1e-05,322376725.4753566,463179672.4637606
1,2,150,,logistic,0.01,0.0001,322376728.0992349,463179673.8921576
1,2,150,,relu,0.0001,1e-05,322378092.22345775,463180616.5590669
1,2,150,,relu,0.0001,0.0001,322378097.7956796,463180617.5577421
1,2,150,,relu,0.001,1e-05,322363945.95221746,463170476.5747122
1,2,150,,relu,0.001,0.0001,322362916.1330075,463169637.0010209
1,2,150,,relu,0.01,1e-05,320826107.9828685,462077541.9697583
1,2,150,,relu,0.01,0.0001,320944755.1897029,462161470.0808435
1,2,150,,tanh,0.0001,1e-05,322378206.95715034,463180709.2234942
1,2,150,,tanh,0.0001,0.0001,322378207.5403207,463180709.2031322
1,2,150,,tanh,0.001,1e-05,322378074.4485467,463180615.6454652
1,2,150,,tanh,0.001,0.0001,322378073.27824134,463180615.606713
1,2,150,,tanh,0.01,1e-05,322376759.56288624,463179687.83989006
1,2,150,,tanh,0.01,0.0001,322376760.08751196,463179687.2859024
1,2,50,50,logistic,0.0001,1e-05,322378225.13485557,463180724.5497229
1,2,50,50,logistic,0.0001,0.0001,322378225.72361594,463180725.4957139
