run,iteration,hidden_layer_size_layer_1,hidden_layer_size_layer_2,activation,learning_rate,l2_regularization,mae,rmse
1,2,10,,logistic,0.0001,1e-05,323886851.7637944,491722014.783396
1,2,10,,logistic,0.0001,0.0001,323886852.3813491,491722015.10547376
1,2,10,,logistic,0.001,1e-05,323886845.4538878,491722010.51083493
1,2,10,,logistic,0.001,0.0001,323886843.7932218,491722009.70528036
1,2,10,,logistic,0.01,1e-05,323886761.1424877,491721955.00395703
1,2,10,,logistic,0.01,0.0001,323886771.5769021,491721962.07215273
1,2,10,,relu,0.0001,1e-05,323886846.78354365,491722005.0941104
1,2,10,,relu,0.0001,0.0001,323886836.4020989,491721999.52517647
1,2,10,,relu,0.001,1e-05,323885819.7108197,491721281.0243673
1,2,10,,relu,0.001,0.0001,323886022.679156,491721410.4777421
1,2,10,,relu,0.01,1e-05,323818855.53930604,491675544.18346643
1,2,10,,relu,0.01,0.0001,323835823.76988775,491687165.0767452
1,2,10,,tanh,0.0001,1e-05,323886850.87772757,491722012.9258505
1,2,10,,tanh,0.0001,0.0001,323886850.5545492,491722013.3508721
1,2,10,,tanh,0.001,1e-05,323886839.88545114,491722005.96031266
1,2,10,,tanh,0.001,0.0001,323886840.141788,491722006.2874812
1,2,10,,tanh,0.01,1e-05,323886740.6310335,491721941.6465737
1,2,10,,tanh,0.01,0.0001,323886740.4161186,491721940.55720514
1,2,10,10,logistic,0.0001,1e-05,323886851.93701607,491722015.2501945
1,2,10,10,logistic,0.0001,0.0001,323886851.9297721,491722014.88291204
1,2,10,10,logistic,0.001,1e-05,323886841.4560657,491722008.0903706
1,2,10,10,logistic,0.001,0.0001,323886840.83837414,491722007.4789153
1,2,10,10,logistic,0.01,1e-05,323886738.49310184,491721940.0815738
1,2,10,10,logistic,0.01,0.0001,323886737.46407396,491721939.42860013
1,2,10,10,relu,0.0001,1e-05,323886830.8154834,491721991.7150144
1,2,10,10,relu,0.0001,0.0001,323886835.0587476,491722008.4265737
1,2,10,10,relu,0.001,1e-05,323869855.55847585,491711026.8088387
1,2,10,10,relu,0.001,0.0001,323878811.41916394,491716303.7040837
1,2,10,10,relu,0.01,1e-05,311374072.74122196,483269057.13952124
1,2,10,10,relu,0.01,0.0001,319866226.2608345,488997557.4047609
1,2,10,10,tanh,0.0001,1e-05,323886850.61368734,491722013.6459341
1,2,10,10,tanh,0.0001,0.0001,323886850.5581228,491722013.57373726
1,2,10,10,tanh,0.001,1e-05,323886839.9271583,491722005.8761944
1,2,10,10,tanh,0.001,0.0001,323886840.80289674,491722006.4779419
1,2,10,10,tanh,0.01,1e-05,323886740.82453984,491721941.0292686
1,2,10,10,tanh,0.01,0.0001,323886741.44234145,491721941.25671655
1,2,50,,logistic,0.0001,1e-05,323886847.60893613,491722011.70020324
1,2,50,,logistic,0.0001,0.0001,323886846.99262637,491722011.0965203
1,2,50,,logistic,0.001,1e-05,323886805.6603443,491721984.1177529
1,2,50,,logistic,0.001,0.0001,323886797.8078488,491721979.56921923
1,2,50,,logistic,0.01,1e-05,323886339.3916568,491721677.5500916
1,2,50,,logistic,0.01,0.0001,323886356.8816037,491721689.3124948
1,2,50,,relu,0.0001,1e-05,323886790.6311075,491721965.22236437
