run,iteration,n_neighbors,mae,rmse
1,2,1,89722349.00666665,184501101.82278782
1,2,2,106324463.81683333,207300730.0276254
1,2,3,87341678.68144444,180924016.38852766
1,2,4,97796905.38441665,198432650.95647088
1,2,5,81861636.09053333,166860776.93481287
1,3,1,191004484.83433333,421879090.946389
1,3,2,196871132.49233332,361953230.8539764
1,3,3,203065409.62155557,372549296.3200381
1,3,4,200598048.49600005,372434082.6323326
1,3,5,194191291.183,365059300.3869557
1,4,1,51178664.921,113596874.19716899
1,4,2,72636899.386,142907556.21277776
1,4,3,75224449.86011113,159587245.6829423
1,4,4,99115388.34375001,229431754.32012293
1,4,5,91067340.28319998,209230919.17574003
1,5,1,108750132.99366665,221434072.40439862
1,5,2,112126704.09399998,218880979.01767206
1,5,3,119545089.4462222,221433230.7771129
1,5,4,129497143.94333331,242203548.3668286
1,5,5,134194406.34066665,246344532.3449052
2,2,1,89722349.00666665,184501101.82278782
2,2,2,106324463.81683333,207300730.0276254
2,2,3,87341678.68144444,180924016.38852766
2,2,4,97796905.38441665,198432650.95647088
2,2,5,81861636.09053333,166860776.93481287
2,3,1,191004484.83433333,421879090.946389
2,3,2,196871132.49233332,361953230.8539764
2,3,3,203065409.62155557,372549296.3200381
2,3,4,200598048.49600005,372434082.6323326
2,3,5,194191291.183,365059300.3869557
2,4,1,51178664.921,113596874.19716899
2,4,2,72636899.386,142907556.21277776
2,4,3,75224449.86011113,159587245.6829423
2,4,4,99115388.34375001,229431754.32012293
2,4,5,91067340.28319998,209230919.17574003
2,5,1,108750132.99366665,221434072.40439862
2,5,2,112126704.09399998,218880979.01767206
2,5,3,119545089.4462222,221433230.7771129
2,5,4,129497143.94333331,242203548.3668286
2,5,5,134194406.34066665,246344532.3449052
3,2,1,89722349.00666665,184501101.82278782
3,2,2,106324463.81683333,207300730.0276254
3,2,3,87341678.68144444,180924016.38852766
3,2,4,97796905.38441665,198432650.95647088
3,2,5,81861636.09053333,166860776.93481287
3,3,1,191004484.83433333,421879090.946389
3,3,2,196871132.49233332,361953230.8539764
3,3,3,203065409.62155557,372549296.3200381
3,3,4,200598048.49600005,372434082.6323326
3,3,5,194191291.183,365059300.3869557
3,4,1,51178664.921,113596874.19716899
3,4,2,72636899.386,142907556.21277776
3,4,3,75224449.86011113,159587245.6829423
3,4,4,99115388.34375001,229431754.32012293
3,4,5,91067340.28319998,209230919.17574003
3,5,1,108750132.99366665,221434072.40439862
3,5,2,112126704.09399998,218880979.01767206
3,5,3,119545089.4462222,221433230.7771129
3,5,4,129497143.94333331,242203548.3668286
3,5,5,134194406.34066665,246344532.3449052
4,2,1,89722349.00666665,184501101.82278782
4,2,2,106324463.81683333,207300730.0276254
4,2,3,87341678.68144444,180924016.38852766
4,2,4,97796905.38441665,198432650.95647088
4,2,5,81861636.09053333,166860776.93481287
4,3,1,191004484.83433333,421879090.946389
4,3,2,196871132.49233332,361953230.8539764
4,3,3,203065409.62155557,372549296.3200381
4,3,4,200598048.49600005,372434082.6323326
4,3,5,194191291.183,365059300.3869557
4,4,1,51178664.921,113596874.19716899
4,4,2,72636899.386,142907556.21277776
4,4,3,75224449.86011113,159587245.6829423
4,4,4,99115388.34375001,229431754.32012293
4,4,5,91067340.28319998,209230919.17574003
4,5,1,108750132.99366665,221434072.40439862
4,5,2,112126704.09399998,218880979.01767206
4,5,3,119545089.4462222,221433230.7771129
4,5,4,129497143.94333331,242203548.3668286
4,5,5,134194406.34066665,246344532.3449052
5,2,1,89722349.00666665,184501101.82278782
5,2,2,106324463.81683333,207300730.0276254
5,2,3,87341678.68144444,180924016.38852766
5,2,4,97796905.38441665,198432650.95647088
5,2,5,81861636.09053333,166860776.93481287
5,3,1,191004484.83433333,421879090.946389
5,3,2,196871132.49233332,361953230.8539764
5,3,3,203065409.62155557,372549296.3200381
5,3,4,200598048.49600005,372434082.6323326
5,3,5,194191291.183,365059300.3869557
5,4,1,51178664.921,113596874.19716899
5,4,2,72636899.386,142907556.21277776
5,4,3,75224449.86011113,159587245.6829423
5,4,4,99115388.34375001,229431754.32012293
5,4,5,91067340.28319998,209230919.17574003
5,5,1,108750132.99366665,221434072.40439862
5,5,2,112126704.09399998,218880979.01767206
5,5,3,119545089.4462222,221433230.7771129
5,5,4,129497143.94333331,242203548.3668286
5,5,5,134194406.34066665,246344532.3449052
6,2,1,89722349.00666665,184501101.82278782
6,2,2,106324463.81683333,207300730.0276254
6,2,3,87341678.68144444,180924016.38852766
6,2,4,97796905.38441665,198432650.95647088
6,2,5,81861636.09053333,166860776.93481287
6,3,1,191004484.83433333,421879090.946389
6,3,2,196871132.49233332,361953230.8539764
6,3,3,203065409.62155557,372549296.3200381
6,3,4,200598048.49600005,372434082.6323326
6,3,5,194191291.183,365059300.3869557
6,4,1,51178664.921,113596874.19716899
6,4,2,72636899.386,142907556.21277776
6,4,3,75224449.86011113,159587245.6829423
6,4,4,99115388.34375001,229431754.32012293
6,4,5,91067340.28319998,209230919.17574003
6,5,1,108750132.99366665,221434072.40439862
6,5,2,112126704.09399998,218880979.01767206
6,5,3,119545089.4462222,221433230.7771129
6,5,4,129497143.94333331,242203548.3668286
6,5,5,134194406.34066665,246344532.3449052
7,2,1,89722349.00666665,184501101.82278782
7,2,2,106324463.81683333,207300730.0276254
7,2,3,87341678.68144444,180924016.38852766
7,2,4,97796905.38441665,198432650.95647088
7,2,5,81861636.09053333,166860776.93481287
7,3,1,191004484.83433333,421879090.946389
7,3,2,196871132.49233332,361953230.8539764
7,3,3,203065409.62155557,372549296.3200381
7,3,4,200598048.49600005,372434082.6323326
7,3,5,194191291.183,365059300.3869557
7,4,1,51178664.921,113596874.19716899
7,4,2,72636899.386,142907556.21277776
7,4,3,75224449.86011113,159587245.6829423
7,4,4,99115388.34375001,229431754.32012293
7,4,5,91067340.28319998,209230919.17574003
7,5,1,108750132.99366665,221434072.40439862
7,5,2,112126704.09399998,218880979.01767206
7,5,3,119545089.4462222,221433230.7771129
7,5,4,129497143.94333331,242203548.3668286
7,5,5,134194406.34066665,246344532.3449052
8,2,1,89722349.00666665,184501101.82278782
8,2,2,106324463.81683333,207300730.0276254
8,2,3,87341678.68144444,180924016.38852766
8,2,4,97796905.38441665,198432650.95647088
8,2,5,81861636.09053333,166860776.93481287
8,3,1,191004484.83433333,421879090.946389
8,3,2,196871132.49233332,361953230.8539764
8,3,3,203065409.62155557,372549296.3200381
8,3,4,200598048.49600005,372434082.6323326
8,3,5,194191291.183,365059300.3869557
8,4,1,51178664.921,113596874.19716899
8,4,2,72636899.386,142907556.21277776
8,4,3,75224449.86011113,159587245.6829423
8,4,4,99115388.34375001,229431754.32012293
8,4,5,91067340.28319998,209230919.17574003
8,5,1,108750132.99366665,221434072.40439862
8,5,2,112126704.09399998,218880979.01767206
8,5,3,119545089.4462222,221433230.7771129
8,5,4,129497143.94333331,242203548.3668286
8,5,5,134194406.34066665,246344532.3449052
9,2,1,89722349.00666665,184501101.82278782
9,2,2,106324463.81683333,207300730.0276254
9,2,3,87341678.68144444,180924016.38852766
9,2,4,97796905.38441665,198432650.95647088
9,2,5,81861636.09053333,166860776.93481287
9,3,1,191004484.83433333,421879090.946389
9,3,2,196871132.49233332,361953230.8539764
9,3,3,203065409.62155557,372549296.3200381
9,3,4,200598048.49600005,372434082.6323326
9,3,5,194191291.183,365059300.3869557
9,4,1,51178664.921,113596874.19716899
9,4,2,72636899.386,142907556.21277776
9,4,3,75224449.86011113,159587245.6829423
9,4,4,99115388.34375001,229431754.32012293
9,4,5,91067340.28319998,209230919.17574003
9,5,1,108750132.99366665,221434072.40439862
9,5,2,112126704.09399998,218880979.01767206
9,5,3,119545089.4462222,221433230.7771129
9,5,4,129497143.94333331,242203548.3668286
9,5,5,134194406.34066665,246344532.3449052
10,2,1,89722349.00666665,184501101.82278782
10,2,2,106324463.81683333,207300730.0276254
10,2,3,87341678.68144444,180924016.38852766
10,2,4,97796905.38441665,198432650.95647088
10,2,5,81861636.09053333,166860776.93481287
10,3,1,191004484.83433333,421879090.946389
10,3,2,196871132.49233332,361953230.8539764
10,3,3,203065409.62155557,372549296.3200381
10,3,4,200598048.49600005,372434082.6323326
10,3,5,194191291.183,365059300.3869557
10,4,1,51178664.921,113596874.19716899
10,4,2,72636899.386,142907556.21277776
10,4,3,75224449.86011113,159587245.6829423
10,4,4,99115388.34375001,229431754.32012293
10,4,5,91067340.28319998,209230919.17574003
10,5,1,108750132.99366665,221434072.40439862
10,5,2,112126704.09399998,218880979.01767206
10,5,3,119545089.4462222,221433230.7771129
10,5,4,129497143.94333331,242203548.3668286
10,5,5,134194406.34066665,246344532.3449052
