run,iteration,n_estimators,max_depth,max_samples,max_features,mae,rmse
1,2,10,,0.25,0.25,95765752.40856667,194409316.44275773
1,2,10,,0.25,0.5,96159080.56658335,201307751.56990132
1,2,10,,0.25,0.75,98689899.15361668,219386206.59842685
1,2,10,,0.25,1.0,91908817.58889998,194473931.79470563
1,2,10,,0.5,0.25,105439828.94026667,202375491.43515605
1,2,10,,0.5,0.5,91439700.66644998,203653293.314402
1,2,10,,0.5,0.75,97254706.9637,195835923.32124618
1,2,10,,0.5,1.0,79552487.74594998,174165068.29188576
1,2,10,,0.75,0.25,84269629.57748334,179144538.79622766
1,2,10,,0.75,0.5,94726621.15268333,201371524.49219224
1,2,10,,0.75,0.75,99295218.80209999,191267790.5965587
1,2,10,,0.75,1.0,93209726.67694998,201237938.13490942
1,2,10,,1.0,0.25,88309118.64691666,182733793.57733157
1,2,10,,1.0,0.5,91087322.83944999,172374687.98378485
1,2,10,,1.0,0.75,80439794.46785,168518520.2259719
1,2,10,,1.0,1.0,79610415.44879998,165596399.32135954
1,2,10,5,0.25,0.25,95818251.95744997,192492712.13530242
1,2,10,5,0.25,0.5,102331656.47265,205005202.7417429
1,2,10,5,0.25,0.75,102958034.8226,197430506.90730342
1,2,10,5,0.25,1.0,96648351.82704999,202898533.4058131
1,2,10,5,0.5,0.25,89694908.9359111,186835868.12684104
1,2,10,5,0.5,0.5,92706748.67286669,199726051.21316904
1,2,10,5,0.5,0.75,78856379.89761665,160954119.2115523
1,2,10,5,0.5,1.0,94479089.97539999,204358377.30763614
1,2,10,5,0.75,0.25,93131284.00519584,201040075.20476177
1,2,10,5,0.75,0.5,85269747.09373055,165548997.5070087
1,2,10,5,0.75,0.75,88975520.43024305,185945463.5659885
1,2,10,5,0.75,1.0,93220343.17338336,194390819.13271928
1,2,10,5,1.0,0.25,101349783.25241667,220537712.2339684
1,2,10,5,1.0,0.5,79502973.42819166,159323427.27557993
1,2,10,5,1.0,0.75,84885867.42835222,170736336.44288343
1,2,10,5,1.0,1.0,92463224.22048752,185754173.797003
1,2,10,10,0.25,0.25,97528105.88116665,189502107.64332753
1,2,10,10,0.25,0.5,106234297.70734997,216719984.63628975
1,2,10,10,0.25,0.75,87328733.6161667,174337237.58778843
1,2,10,10,0.25,1.0,109466455.77961665,211693255.5629821
1,2,10,10,0.5,0.25,90651139.40148334,192391670.5452162
1,2,10,10,0.5,0.5,88848894.94623335,192037242.2008387
1,2,10,10,0.5,0.75,100259301.67710002,213848675.34718597
1,2,10,10,0.5,1.0,100686397.90980001,198744881.13886014
1,2,10,10,0.75,0.25,90297341.96185003,186461125.45099333
1,2,10,10,0.75,0.5,101146705.11596666,225849839.6355349
1,2,10,10,0.75,0.75,110234548.55038328,219638410.65556565
1,2,10,10,0.75,1.0,83320958.9532,173927302.53888357
1,2,10,10,1.0,0.25,80596829.02555,167369710.28021598
1,2,10,10,1.0,0.5,74766425.55330001,159398795.37429404
1,2,10,10,1.0,0.75,81030507.88085,169412840.39759544
1,2,10,10,1.0,1.0,85386670.97388336,175574409.54787484
1,2,10,15,0.25,0.25,99616769.45903333,199139989.91668934
1,2,10,15,0.25,0.5,98698781.25581665,204908249.52790102
1,2,10,15,0.25,0.75,103905085.05215001,202462412.23611748
1,2,10,15,0.25,1.0,104815495.92940001,211823173.97316656
