run,iteration,hidden_layer_size_layer_1,hidden_layer_size_layer_2,activation,learning_rate,l2_regularization,mae,rmse
1,2,10,10,relu,0.01,0.0001,225393898.73994112,336842839.4497915
1,2,10,10,tanh,0.0001,1e-05,233734918.19939148,343083276.283364
1,2,10,10,tanh,0.0001,0.0001,233734917.93397674,343083276.5368503
1,2,10,10,tanh,0.001,1e-05,233734909.1375328,343083268.6002916
1,2,10,10,tanh,0.001,0.0001,233734908.8037951,343083268.78785515
1,2,10,10,tanh,0.01,1e-05,233734822.4709741,343083202.1181311
1,2,10,10,tanh,0.01,0.0001,233734822.49244085,343083202.2498757
1,2,50,,logistic,0.0001,1e-05,233734916.40354696,343083274.7996227
1,2,50,,logistic,0.0001,0.0001,233734916.7750397,343083275.6428371
1,2,50,,logistic,0.001,1e-05,233734877.62355503,343083245.30232704
1,2,50,,logistic,0.001,0.0001,233734876.45113042,343083244.74029475
1,2,50,,logistic,0.01,1e-05,233734488.7611901,343082944.06870663
1,2,50,,logistic,0.01,0.0001,233734489.14219785,343082944.61797196
1,2,50,,relu,0.0001,1e-05,233734898.29805836,343083257.8776811
1,2,50,,relu,0.0001,0.0001,233734874.64905548,343083237.9042846
1,2,50,,relu,0.001,1e-05,233731045.3006586,343080116.2668514
1,2,50,,relu,0.001,0.0001,233731783.37264916,343080777.1942291
1,2,50,,relu,0.01,1e-05,233320036.3293539,342754208.261652
1,2,50,,relu,0.01,0.0001,233463279.34495628,342867812.0215526
1,2,50,,tanh,0.0001,1e-05,233734911.9202861,343083270.83146644
1,2,50,,tanh,0.0001,0.0001,233734912.74788308,343083271.0237833
1,2,50,,tanh,0.001,1e-05,233734871.76296034,343083239.2921393
1,2,50,,tanh,0.001,0.0001,233734872.31779957,343083238.6765279
1,2,50,,tanh,0.01,1e-05,233734474.2808478,343082930.68794364
1,2,50,,tanh,0.01,0.0001,233734473.83043358,343082931.06453186
1,2,100,,logistic,0.0001,1e-05,233734912.12235156,343083271.48553425
1,2,100,,logistic,0.0001,0.0001,233734914.14247763,343083273.54920274
1,2,100,,logistic,0.001,1e-05,233734826.7883344,343083206.2127019
1,2,100,,logistic,0.001,0.0001,233734830.87345263,343083208.46225387
1,2,100,,logistic,0.01,1e-05,233734028.46531153,343082587.4179163
1,2,100,,logistic,0.01,0.0001,233734023.1837758,343082583.61822784
1,2,100,,relu,0.0001,1e-05,233734848.3109735,343083216.37786984
1,2,100,,relu,0.0001,0.0001,233734845.48848274,343083212.2102609
1,2,100,,relu,0.001,1e-05,233727336.3993217,343077273.2065749
1,2,100,,relu,0.001,0.0001,233727787.11236545,343077603.956722
1,2,100,,relu,0.01,1e-05,232904117.5164032,342425647.6699693
1,2,100,,relu,0.01,0.0001,232976242.784134,342482329.75464004
1,2,100,,tanh,0.0001,1e-05,233734906.00763437,343083265.36085093
1,2,100,,tanh,0.0001,0.0001,233734906.38745937,343083264.8463454
1,2,100,,tanh,0.001,1e-05,233734827.29513994,343083203.5483045
1,2,100,,tanh,0.001,0.0001,233734826.99653995,343083203.0574473
1,2,100,,tanh,0.01,1e-05,233734039.20518312,343082592.6156395
1,2,100,,tanh,0.01,0.0001,233734039.48822173,343082592.9087618
1,2,150,,logistic,0.0001,1e-05,233734907.7841986,343083268.55417985
1,2,150,,logistic,0.0001,0.0001,233734908.05500165,343083268.2625499
1,2,150,,logistic,0.001,1e-05,233734780.21332404,343083170.2278144
1,2,150,,logistic,0.001,0.0001,233734779.37910762,343083169.956794
1,2,150,,logistic,0.01,1e-05,233733582.07919332,343082241.7371016
1,2,150,,logistic,0.01,0.0001,233733586.16982445,343082244.2574022
1,2,150,,relu,0.0001,1e-05,233734810.99843845,343083175.40879536
1,2,150,,relu,0.0001,0.0001,233734795.41259357,343083164.48513293
1,2,150,,relu,0.001,1e-05,233723961.07058993,343074566.7301441
1,2,150,,relu,0.001,0.0001,233722158.1957561,343073094.01716626
1,2,150,,relu,0.01,1e-05,232502504.14284953,342109879.48210347
1,2,150,,relu,0.01,0.0001,232504000.64802706,342109139.7577569
1,2,150,,tanh,0.0001,1e-05,233734901.56508222,343083259.9833045
1,2,150,,tanh,0.0001,0.0001,233734901.29642883,343083260.306283
1,2,150,,tanh,0.001,1e-05,233734782.17935053,343083168.0002759
1,2,150,,tanh,0.001,0.0001,233734781.4145299,343083167.11949754
1,2,150,,tanh,0.01,1e-05,233733603.03521562,343082254.5620148
1,2,150,,tanh,0.01,0.0001,233733604.624123,343082254.7197586
1,2,50,50,logistic,0.0001,1e-05,233734916.02375484,343083275.0146547
1,2,50,50,logistic,0.0001,0.0001,233734916.08406153,343083275.0373273
1,2,50,50,logistic,0.001,1e-05,233734880.98474267,343083248.4069013
1,2,50,50,logistic,0.001,0.0001,233734880.57989946,343083247.16533446
1,2,50,50,logistic,0.01,1e-05,233734467.81547335,343082927.8425494
1,2,50,50,logistic,0.01,0.0001,233734470.0685943,343082929.03715855
1,2,50,50,relu,0.0001,1e-05,233734449.8288641,343082817.87032926
1,2,50,50,relu,0.0001,0.0001,233734543.6032573,343082897.87135357
1,2,50,50,relu,0.001,1e-05,233328137.02858806,342752562.6543383
1,2,50,50,relu,0.001,0.0001,233483377.63110015,342878830.42838573
1,2,50,50,relu,0.01,1e-05,111040704.25476594,195440951.12387538
1,2,50,50,relu,0.01,0.0001,107710376.0993821,190963373.31017968
1,2,50,50,tanh,0.0001,1e-05,233734913.1383755,343083270.84150726
1,2,50,50,tanh,0.0001,0.0001,233734913.2026763,343083270.68745446
1,2,50,50,tanh,0.001,1e-05,233734872.76777458,343083239.62275296
1,2,50,50,tanh,0.001,0.0001,233734872.56884944,343083239.7415326
1,2,50,50,tanh,0.01,1e-05,233734473.69709525,343082930.4755906
1,2,50,50,tanh,0.01,0.0001,233734474.43656525,343082930.6541932
1,2,100,50,logistic,0.0001,1e-05,233734916.99829212,343083275.30317706
1,2,100,50,logistic,0.0001,0.0001,233734916.44644848,343083274.8909674
1,2,100,50,logistic,0.001,1e-05,233734885.28935084,343083250.8057471
1,2,100,50,logistic,0.001,0.0001,233734883.3364761,343083249.166643
1,2,100,50,logistic,0.01,1e-05,233734534.682991,343082979.8157498
1,2,100,50,logistic,0.01,0.0001,233734545.63592196,343082987.9502484
1,2,100,50,relu,0.0001,1e-05,233734118.26913938,343082494.9309749
1,2,100,50,relu,0.0001,0.0001,233734245.6463058,343082669.8218619
1,2,100,50,relu,0.001,1e-05,232712922.20965138,342275720.73571444
1,2,100,50,relu,0.001,0.0001,232807366.62890115,342338464.3630111
1,2,100,50,relu,0.01,1e-05,96723504.30258155,175990807.93615517
1,2,100,50,relu,0.01,0.0001,99999630.55873793,179466466.88179153
1,2,100,50,tanh,0.0001,1e-05,233734912.9600867,343083270.7563518
1,2,100,50,tanh,0.0001,0.0001,233734912.8320847,343083270.5714647
1,2,100,50,tanh,0.001,1e-05,233734873.06249413,343083239.8747691
1,2,100,50,tanh,0.001,0.0001,233734872.3079115,343083239.4825084
1,2,100,50,tanh,0.01,1e-05,233734474.9840318,343082931.3445639
1,2,100,50,tanh,0.01,0.0001,233734475.5587392,343082931.28860337
1,2,100,100,logistic,0.0001,1e-05,233734911.59446868,343083271.55937135
1,2,100,100,logistic,0.0001,0.0001,233734912.26831484,343083271.4344727
1,2,100,100,logistic,0.001,1e-05,233734840.6684978,343083216.6828986
1,2,100,100,logistic,0.001,0.0001,233734838.8176323,343083214.92669016
1,2,100,100,logistic,0.01,1e-05,233734135.52431068,343082669.77003187
1,2,100,100,logistic,0.01,0.0001,233734144.84658828,343082676.9688978
1,2,100,100,relu,0.0001,1e-05,233733037.52213064,343081557.97123927
1,2,100,100,relu,0.0001,0.0001,233733290.2906867,343081834.47186327
1,2,100,100,relu,0.001,1e-05,232075658.4081005,341756546.03249055
1,2,100,100,relu,0.001,0.0001,231566459.61010587,341346782.64116234
1,2,100,100,relu,0.01,1e-05,89967791.02345274,172634872.05196851
1,2,100,100,relu,0.01,0.0001,89873904.11818737,172841834.5813898
1,2,100,100,tanh,0.0001,1e-05,233734906.8838716,343083264.9981659
1,2,100,100,tanh,0.0001,0.0001,233734906.3372617,343083264.87233543
1,2,100,100,tanh,0.001,1e-05,233734827.49601123,343083203.9214807
1,2,100,100,tanh,0.001,0.0001,233734827.16126963,343083203.7541292
1,2,100,100,tanh,0.01,1e-05,233734040.31007007,343082592.77861494
1,2,100,100,tanh,0.01,0.0001,233734039.92036572,343082592.77062464
1,2,150,100,logistic,0.0001,1e-05,233734913.2344199,343083272.0248626
1,2,150,100,logistic,0.0001,0.0001,233734913.36519682,343083272.43246543
1,2,150,100,logistic,0.001,1e-05,233734848.56822956,343083222.28780574
1,2,150,100,logistic,0.001,0.0001,233734854.25311756,343083226.88982445
1,2,150,100,logistic,0.01,1e-05,233734327.00013542,343082817.8112119
1,2,150,100,logistic,0.01,0.0001,233734217.89578274,343082733.2407086
1,2,150,100,relu,0.0001,1e-05,233732197.30149415,343080875.3556728
1,2,150,100,relu,0.0001,0.0001,233732479.1421832,343081068.9535715
1,2,150,100,relu,0.001,1e-05,231513722.81906855,341285961.9408702
1,2,150,100,relu,0.001,0.0001,230796047.41222814,340722567.30015457
1,2,150,100,relu,0.01,1e-05,89843082.58506714,173686656.9098375
1,2,150,100,relu,0.01,0.0001,89821804.00430733,173614075.75828892
1,2,150,100,tanh,0.0001,1e-05,233734906.23752275,343083265.0405266
1,2,150,100,tanh,0.0001,0.0001,233734906.78398144,343083265.08102894
1,2,150,100,tanh,0.001,1e-05,233734827.79237437,343083204.56559587
1,2,150,100,tanh,0.001,0.0001,233734827.9370542,343083203.7380386
1,2,150,100,tanh,0.01,1e-05,233734038.81301162,343082592.6201306
1,2,150,100,tanh,0.01,0.0001,233734040.86608884,343082593.8209644
1,3,10,,logistic,0.0001,1e-05,168730793.2646239,206739093.67116478
1,3,10,,logistic,0.0001,0.0001,168730793.98245445,206739094.16859078
1,3,10,,logistic,0.001,1e-05,168730788.53413895,206739092.83603117
1,3,10,,logistic,0.001,0.0001,168730789.6788104,206739092.90635067
1,3,10,,logistic,0.01,1e-05,168730750.95028466,206739082.88115048
1,3,10,,logistic,0.01,0.0001,168730749.21783948,206739082.96667218
1,3,10,,relu,0.0001,1e-05,168730792.95029286,206739096.52703133
1,3,10,,relu,0.0001,0.0001,168730792.49110147,206739094.71930256
1,3,10,,relu,0.001,1e-05,168730554.91750112,206739035.7636041
1,3,10,,relu,0.001,0.0001,168730375.97045192,206738970.49607456
1,3,10,,relu,0.01,1e-05,168681994.8523463,206724565.79631045
1,3,10,,relu,0.01,0.0001,168681289.35205105,206724079.0917796
1,3,10,,tanh,0.0001,1e-05,168730794.07611153,206739094.53342083
1,3,10,,tanh,0.0001,0.0001,168730793.32099485,206739094.08560815
1,3,10,,tanh,0.001,1e-05,168730789.35327235,206739093.56915504
1,3,10,,tanh,0.001,0.0001,168730788.8730574,206739092.8857694
1,3,10,,tanh,0.01,1e-05,168730743.40205726,206739082.1321
1,3,10,,tanh,0.01,0.0001,168730742.8121411,206739081.77920762
1,3,10,10,logistic,0.0001,1e-05,168730793.40395036,206739093.612248
1,3,10,10,logistic,0.0001,0.0001,168730793.93204215,206739094.02245077
1,3,10,10,logistic,0.001,1e-05,168730788.41712937,206739092.68177357
1,3,10,10,logistic,0.001,0.0001,168730787.88916504,206739092.2358906
1,3,10,10,logistic,0.01,1e-05,168730740.1335777,206739080.5199601
1,3,10,10,logistic,0.01,0.0001,168730739.60426322,206739080.23276904
1,3,10,10,relu,0.0001,1e-05,168730780.76321465,206739088.11453158
1,3,10,10,relu,0.0001,0.0001,168730791.1481192,206739098.92914042
1,3,10,10,relu,0.001,1e-05,168726846.69050208,206738050.2785503
1,3,10,10,relu,0.001,0.0001,168729546.2864344,206738739.25866833
1,3,10,10,relu,0.01,1e-05,160314875.55259904,204972335.6252085
1,3,10,10,relu,0.01,0.0001,163818577.46345028,205521239.7568692
1,3,10,10,tanh,0.0001,1e-05,168730793.4173991,206739093.90270576
1,3,10,10,tanh,0.0001,0.0001,168730793.42396298,206739093.9600653
1,3,10,10,tanh,0.001,1e-05,168730788.45182726,206739092.85523912
1,3,10,10,tanh,0.001,0.0001,168730788.35927305,206739092.77908102
1,3,10,10,tanh,0.01,1e-05,168730743.4354305,206739082.1641966
1,3,10,10,tanh,0.01,0.0001,168730742.79545316,206739081.92722893
1,3,50,,logistic,0.0001,1e-05,168730792.63306275,206739093.8847245
1,3,50,,logistic,0.0001,0.0001,168730792.32748902,206739093.77563742
1,3,50,,logistic,0.001,1e-05,168730770.0818482,206739087.8286905
1,3,50,,logistic,0.001,0.0001,168730770.08281836,206739088.08745077
1,3,50,,logistic,0.01,1e-05,168730565.801433,206739036.9408357
1,3,50,,logistic,0.01,0.0001,168730556.4004004,206739035.06533733
1,3,50,,relu,0.0001,1e-05,168730777.05160418,206739091.35227656
1,3,50,,relu,0.0001,0.0001,168730782.422041,206739095.33057034
1,3,50,,relu,0.001,1e-05,168728981.4646206,206738534.94202438
1,3,50,,relu,0.001,0.0001,168728950.72329065,206738555.7294266
1,3,50,,relu,0.01,1e-05,168588510.88225716,206695662.0743929
1,3,50,,relu,0.01,0.0001,168517281.57441917,206674128.34910664
1,3,50,,tanh,0.0001,1e-05,168730791.5074893,206739094.2385044
1,3,50,,tanh,0.0001,0.0001,168730791.10288268,206739093.9176134
1,3,50,,tanh,0.001,1e-05,168730770.73973742,206739089.377776
1,3,50,,tanh,0.001,0.0001,168730770.22384027,206739089.3567948
1,3,50,,tanh,0.01,1e-05,168730555.43608406,206739036.04833576
1,3,50,,tanh,0.01,0.0001,168730556.15859097,206739036.31730863
1,3,100,,logistic,0.0001,1e-05,168730789.37073788,206739093.0592315
1,3,100,,logistic,0.0001,0.0001,168730790.32814535,206739093.42713115
1,3,100,,logistic,0.001,1e-05,168730743.16664043,206739081.19481266
1,3,100,,logistic,0.001,0.0001,168730743.76534882,206739081.3855084
1,3,100,,logistic,0.01,1e-05,168730312.08472738,206738974.4645109
1,3,100,,logistic,0.01,0.0001,168730312.96157143,206738974.84052908
1,3,100,,relu,0.0001,1e-05,168730771.33364943,206739092.33514553
1,3,100,,relu,0.0001,0.0001,168730766.5531676,206739090.4507115
1,3,100,,relu,0.001,1e-05,168727072.95293772,206737950.82443887
1,3,100,,relu,0.001,0.0001,168726218.6164973,206737698.8543191
1,3,100,,relu,0.01,1e-05,168330210.73449865,206617210.656221
1,3,100,,relu,0.01,0.0001,168331523.0859033,206618035.46608818
1,3,100,,tanh,0.0001,1e-05,168730790.14657697,206739094.894573
1,3,100,,tanh,0.0001,0.0001,168730789.57219386,206739094.330757
1,3,100,,tanh,0.001,1e-05,168730748.2490618,206739084.91903022
1,3,100,,tanh,0.001,0.0001,168730745.94258645,206739083.6118882
1,3,100,,tanh,0.01,1e-05,168730322.2557963,206738979.11246055
1,3,100,,tanh,0.01,0.0001,168730323.09992447,206738979.5156031
1,3,150,,logistic,0.0001,1e-05,168730787.9864021,206739092.55073342
1,3,150,,logistic,0.0001,0.0001,168730788.38754177,206739092.84957898
1,3,150,,logistic,0.001,1e-05,168730717.85072842,206739074.81278577
1,3,150,,logistic,0.001,0.0001,168730717.4049882,206739074.68981645
1,3,150,,logistic,0.01,1e-05,168730071.6814869,206738915.12226966
1,3,150,,logistic,0.01,0.0001,168730072.68140015,206738915.4633361
1,3,150,,relu,0.0001,1e-05,168730741.02728096,206739083.61639655
1,3,150,,relu,0.0001,0.0001,168730740.19738567,206739081.051386
1,3,150,,relu,0.001,1e-05,168724633.00374523,206737198.2792092
1,3,150,,relu,0.001,0.0001,168724395.83063987,206737107.96355924
1,3,150,,relu,0.01,1e-05,168160770.04904428,206567191.4775002
1,3,150,,relu,0.01,0.0001,168086771.38476923,206544355.0465315
1,3,150,,tanh,0.0001,1e-05,168730786.46196732,206739094.09742883
1,3,150,,tanh,0.0001,0.0001,168730787.30865788,206739094.24618262
1,3,150,,tanh,0.001,1e-05,168730722.52934727,206739078.30843493
1,3,150,,tanh,0.001,0.0001,168730723.52210152,206739079.07845798
1,3,150,,tanh,0.01,1e-05,168730088.8574647,206738921.81891826
1,3,150,,tanh,0.01,0.0001,168730088.95096967,206738922.18633473
1,3,50,50,logistic,0.0001,1e-05,168730791.61843875,206739093.51129273
1,3,50,50,logistic,0.0001,0.0001,168730791.97244468,206739093.83496305
1,3,50,50,logistic,0.001,1e-05,168730770.86118823,206739088.07462972
1,3,50,50,logistic,0.001,0.0001,168730769.86128435,206739088.02786046
1,3,50,50,logistic,0.01,1e-05,168730547.4077448,206739032.68697917
1,3,50,50,logistic,0.01,0.0001,168730548.5733846,206739033.111256
1,3,50,50,relu,0.0001,1e-05,168730552.6257595,206739040.73637635
1,3,50,50,relu,0.0001,0.0001,168730594.8938116,206739046.8879012
1,3,50,50,relu,0.001,1e-05,168505542.98486745,206677299.9010559
1,3,50,50,relu,0.001,0.0001,168491582.5361534,206668406.81067598
1,3,50,50,relu,0.01,1e-05,167592105.2783409,298171833.26645225
1,3,50,50,relu,0.01,0.0001,163258769.9995978,289858106.85904884
1,3,50,50,tanh,0.0001,1e-05,168730792.6676263,206739095.13405865
1,3,50,50,tanh,0.0001,0.0001,168730793.03247395,206739095.11248228
1,3,50,50,tanh,0.001,1e-05,168730770.95259508,206739089.953494
1,3,50,50,tanh,0.001,0.0001,168730769.85217234,206739089.24972913
1,3,50,50,tanh,0.01,1e-05,168730557.10151932,206739036.9719471
1,3,50,50,tanh,0.01,0.0001,168730557.06895456,206739037.11776197
1,3,100,50,logistic,0.0001,1e-05,168730792.13921988,206739093.69595233
1,3,100,50,logistic,0.0001,0.0001,168730792.4259922,206739093.85674578
1,3,100,50,logistic,0.001,1e-05,168730775.28035417,206739089.6373399
1,3,100,50,logistic,0.001,0.0001,168730776.68333003,206739089.82344216
1,3,100,50,logistic,0.01,1e-05,168730581.49343643,206739041.72012243
1,3,100,50,logistic,0.01,0.0001,168730601.7698067,206739046.35481453
1,3,100,50,relu,0.0001,1e-05,168730498.3526559,206739049.22100174
1,3,100,50,relu,0.0001,0.0001,168730522.62265006,206739090.11761037
1,3,100,50,relu,0.001,1e-05,168276088.75581643,206606458.2590206
1,3,100,50,relu,0.001,0.0001,168298109.90942863,206613327.32578978
1,3,100,50,relu,0.01,1e-05,189416508.19435915,339478589.2633685
1,3,100,50,relu,0.01,0.0001,199560844.55903742,357186005.60986155
1,3,100,50,tanh,0.0001,1e-05,168730792.35528612,206739094.7242056
1,3,100,50,tanh,0.0001,0.0001,168730792.334641,206739094.90255278
1,3,100,50,tanh,0.001,1e-05,168730770.37243512,206739089.36766496
1,3,100,50,tanh,0.001,0.0001,168730770.3263487,206739089.4510223
1,3,100,50,tanh,0.01,1e-05,168730557.08154216,206739036.8432579
1,3,100,50,tanh,0.01,0.0001,168730555.5649198,206739036.301373
1,3,100,100,logistic,0.0001,1e-05,168730790.2146718,206739093.36055258
1,3,100,100,logistic,0.0001,0.0001,168730789.73563388,206739093.2953998
1,3,100,100,logistic,0.001,1e-05,168730752.85094115,206739084.0320724
1,3,100,100,logistic,0.001,0.0001,168730750.2881433,206739083.04356745
1,3,100,100,logistic,0.01,1e-05,168730357.18234167,206738985.97618502
1,3,100,100,logistic,0.01,0.0001,168730375.77696243,206738990.8383727
1,3,100,100,relu,0.0001,1e-05,168730142.31385514,206738967.11104247
1,3,100,100,relu,0.0001,0.0001,168729948.38724592,206738972.62420675
1,3,100,100,relu,0.001,1e-05,167918339.30589023,206500741.98355502
1,3,100,100,relu,0.001,0.0001,167853527.2962444,206485591.00700438
1,3,100,100,relu,0.01,1e-05,208239936.28752708,371635484.30212456
1,3,100,100,relu,0.01,0.0001,211237732.01164123,375542227.0736248
1,3,100,100,tanh,0.0001,1e-05,168730791.93014866,206739096.00208908
1,3,100,100,tanh,0.0001,0.0001,168730788.5944911,206739093.8631032
1,3,100,100,tanh,0.001,1e-05,168730745.89553759,206739083.52231833
1,3,100,100,tanh,0.001,0.0001,168730747.4360789,206739084.45824423
1,3,100,100,tanh,0.01,1e-05,168730322.39362976,206738978.9767055
1,3,100,100,tanh,0.01,0.0001,168730322.06608188,206738978.74822
1,3,150,100,logistic,0.0001,1e-05,168730790.48186842,206739093.37386423
1,3,150,100,logistic,0.0001,0.0001,168730791.09312394,206739093.72888872
1,3,150,100,logistic,0.001,1e-05,168730755.52554682,206739084.81541666
1,3,150,100,logistic,0.001,0.0001,168730755.19451442,206739084.39090112
1,3,150,100,logistic,0.01,1e-05,168730471.53514776,206739014.69333696
1,3,150,100,logistic,0.01,0.0001,168730459.61503378,206739011.80047062
1,3,150,100,relu,0.0001,1e-05,168729818.41702905,206738883.71938214
1,3,150,100,relu,0.0001,0.0001,168729425.2161282,206738718.70956177
1,3,150,100,relu,0.001,1e-05,167285501.365735,206325629.8935816
1,3,150,100,relu,0.001,0.0001,167261779.58900002,206316931.58394834
1,3,150,100,relu,0.01,1e-05,214667593.95420936,379432006.8445307
1,3,150,100,relu,0.01,0.0001,214244679.57479933,379024071.41511565
1,3,150,100,tanh,0.0001,1e-05,168730789.84743702,206739094.80753288
1,3,150,100,tanh,0.0001,0.0001,168730790.67335418,206739095.16526687
1,3,150,100,tanh,0.001,1e-05,168730747.06476423,206739083.9640457
1,3,150,100,tanh,0.001,0.0001,168730747.96627498,206739084.6606796
1,3,150,100,tanh,0.01,1e-05,168730323.28522143,206738979.5111474
1,3,150,100,tanh,0.01,0.0001,168730323.92551848,206738979.84022066
1,4,10,,logistic,0.0001,1e-05,178244844.45794627,233087693.1999042
1,4,10,,logistic,0.0001,0.0001,178244844.46059817,233087693.43599653
1,4,10,,logistic,0.001,1e-05,178244840.22563872,233087694.21406856
1,4,10,,logistic,0.001,0.0001,178244840.26206782,233087693.86735493
1,4,10,,logistic,0.01,1e-05,178244806.91315225,233087703.13826942
1,4,10,,logistic,0.01,0.0001,178244800.13582978,233087704.56870708
1,4,10,,relu,0.0001,1e-05,178244843.5692496,233087695.80084082
1,4,10,,relu,0.0001,0.0001,178244840.18280163,233087692.48231196
1,4,10,,relu,0.001,1e-05,178244556.62303206,233087650.69358253
1,4,10,,relu,0.001,0.0001,178244485.11532757,233087772.4519616
1,4,10,,relu,0.01,1e-05,178199081.71070427,233099878.7570139
1,4,10,,relu,0.01,0.0001,178209744.4457744,233084026.15483603
1,4,10,,tanh,0.0001,1e-05,178244844.91448978,233087694.70024705
1,4,10,,tanh,0.0001,0.0001,178244843.07555425,233087692.9300901
1,4,10,,tanh,0.001,1e-05,178244841.9012334,233087694.70847479
1,4,10,,tanh,0.001,0.0001,178244840.84720877,233087692.99077776
1,4,10,,tanh,0.01,1e-05,178244807.8110262,233087701.41567752
1,4,10,,tanh,0.01,0.0001,178244808.85093182,233087700.94787356
1,4,10,10,logistic,0.0001,1e-05,178244844.11491832,233087693.07153887
1,4,10,10,logistic,0.0001,0.0001,178244844.13632968,233087693.20998105
1,4,10,10,logistic,0.001,1e-05,178244839.97049972,233087694.57186306
1,4,10,10,logistic,0.001,0.0001,178244840.87371835,233087694.43770298
1,4,10,10,logistic,0.01,1e-05,178244799.17819342,233087706.5792715
1,4,10,10,logistic,0.01,0.0001,178244810.24335384,233087699.43164688
1,4,10,10,relu,0.0001,1e-05,178244842.93379977,233087696.16519433
1,4,10,10,relu,0.0001,0.0001,178244838.56549582,233087698.8081844
1,4,10,10,relu,0.001,1e-05,178236165.44501594,233089699.83760488
1,4,10,10,relu,0.001,0.0001,178240032.85741028,233088595.4555705
1,4,10,10,relu,0.01,1e-05,167412964.49119142,236165999.8656337
1,4,10,10,relu,0.01,0.0001,170629295.05242494,235796431.4248009
1,4,10,10,tanh,0.0001,1e-05,178244844.45817813,233087693.97183356
1,4,10,10,tanh,0.0001,0.0001,178244845.05326435,233087694.3505343
1,4,10,10,tanh,0.001,1e-05,178244842.8361421,233087691.15271357
1,4,10,10,tanh,0.001,0.0001,178244842.81371835,233087691.4262353
1,4,10,10,tanh,0.01,1e-05,178244833.3320146,233087680.74750236
1,4,10,10,tanh,0.01,0.0001,178244831.35739666,233087682.61332518
1,4,50,,logistic,0.0001,1e-05,178244843.42106542,233087694.15793657
1,4,50,,logistic,0.0001,0.0001,178244842.8865984,233087693.97541973
1,4,50,,logistic,0.001,1e-05,178244823.4307432,233087698.8109342
1,4,50,,logistic,0.001,0.0001,178244825.8042486,233087698.22788635
1,4,50,,logistic,0.01,1e-05,178244646.42461303,233087746.42927063
1,4,50,,logistic,0.01,0.0001,178244656.0843394,233087742.52378982
1,4,50,,relu,0.0001,1e-05,178244832.8867385,233087704.61057898
1,4,50,,relu,0.0001,0.0001,178244822.72957328,233087692.7011933
1,4,50,,relu,0.001,1e-05,178242845.89419973,233087856.52792537
1,4,50,,relu,0.001,0.0001,178242798.68315548,233087937.14311486
1,4,50,,relu,0.01,1e-05,178080789.1582884,233109164.8087231
1,4,50,,relu,0.01,0.0001,178047080.9955708,233124834.75460163
1,4,50,,tanh,0.0001,1e-05,178244841.86238572,233087694.58224556
1,4,50,,tanh,0.0001,0.0001,178244841.7961587,233087693.8147485
1,4,50,,tanh,0.001,1e-05,178244827.983164,233087696.67435777
1,4,50,,tanh,0.001,0.0001,178244827.2666088,233087695.5406534
1,4,50,,tanh,0.01,1e-05,178244671.51944423,233087737.244616
1,4,50,,tanh,0.01,0.0001,178244694.76024947,233087722.78045908
1,4,100,,logistic,0.0001,1e-05,178244840.7576652,233087694.49224117
1,4,100,,logistic,0.0001,0.0001,178244841.27770695,233087694.58807448
