run,iteration,hidden_layer_size_layer_1,hidden_layer_size_layer_2,activation,learning_rate,l2_regularization,mae,rmse
1,2,10,,logistic,0.0001,1e-05,231674786.3231696,354169899.85082364
1,2,10,,logistic,0.0001,0.0001,231674785.95109606,354169899.7926573
1,2,10,,logistic,0.001,1e-05,231674779.62714162,354169895.34943193
1,2,10,,logistic,0.001,0.0001,231674778.23845848,354169894.4232905
1,2,10,,logistic,0.01,1e-05,231674716.96093234,354169853.877427
1,2,10,,logistic,0.01,0.0001,231674725.82832003,354169859.62974924
1,2,10,,relu,0.0001,1e-05,231674778.31950548,354169891.53782743
1,2,10,,relu,0.0001,0.0001,231674779.08573905,354169884.8592868
1,2,10,,relu,0.001,1e-05,231674311.0741491,354169528.039227
1,2,10,,relu,0.001,0.0001,231674277.93862972,354169520.1080032
1,2,10,,relu,0.01,1e-05,231621327.35922694,354132418.1244508
1,2,10,,relu,0.01,0.0001,231594968.7767241,354113691.17835444
1,2,10,,tanh,0.0001,1e-05,231674784.942053,354169898.4305056
1,2,10,,tanh,0.0001,0.0001,231674785.376052,354169898.72591275
1,2,10,,tanh,0.001,1e-05,231674777.19522604,354169893.1441175
1,2,10,,tanh,0.001,0.0001,231674776.52942535,354169892.6223335
1,2,10,,tanh,0.01,1e-05,231674690.3216534,354169835.5218264
1,2,10,,tanh,0.01,0.0001,231674689.74526894,354169835.2119538
1,2,10,10,logistic,0.0001,1e-05,231674786.89185777,354169900.2793579
1,2,10,10,logistic,0.0001,0.0001,231674786.7411013,354169899.88155085
1,2,10,10,logistic,0.001,1e-05,231674777.2854459,354169893.7161492
1,2,10,10,logistic,0.001,0.0001,231674776.61418632,354169893.3611865
1,2,10,10,logistic,0.01,1e-05,231674687.48953494,354169833.8920857
1,2,10,10,logistic,0.01,0.0001,231674687.95816126,354169834.08353746
1,2,10,10,relu,0.0001,1e-05,231674786.23204443,354169896.45039433
1,2,10,10,relu,0.0001,0.0001,231674771.5775065,354169884.078022
1,2,10,10,relu,0.001,1e-05,231671321.6984602,354167346.6413001
1,2,10,10,relu,0.001,0.0001,231668897.19294992,354165779.7418268
1,2,10,10,relu,0.01,1e-05,223876881.32324675,348732032.99335027
1,2,10,10,relu,0.01,0.0001,220091680.1336641,346107469.9361314
1,2,10,10,tanh,0.0001,1e-05,231674785.70378673,354169899.5569042
1,2,10,10,tanh,0.0001,0.0001,231674786.03532448,354169899.17422974
1,2,10,10,tanh,0.001,1e-05,231674776.87504235,354169893.09403247
1,2,10,10,tanh,0.001,0.0001,231674776.7285926,354169892.9036533
1,2,10,10,tanh,0.01,1e-05,231674689.89352894,354169834.8133729
