run,iteration,n_estimators,max_depth,max_samples,max_features,mae,rmse
1,2,10,,0.25,0.25,153674980.84206668,313259610.7040261
1,2,10,,0.25,0.5,151353370.74373335,301097647.95113224
1,2,10,,0.25,0.75,158797701.15753338,331747569.65966237
1,2,10,,0.25,1.0,146020958.64073333,280464881.7995048
1,2,10,,0.5,0.25,145085515.00973332,293550812.074534
1,2,10,,0.5,0.5,151898022.49946663,298840973.27613586
1,2,10,,0.5,0.75,147034393.37006667,289626099.2210766
1,2,10,,0.5,1.0,145853472.49613336,289226754.05467284
1,2,10,,0.75,0.25,129018964.23646666,261303092.30467403
1,2,10,,0.75,0.5,148468073.14973333,296204608.2524025
1,2,10,,0.75,0.75,172878636.3522,325420154.1751893
1,2,10,,0.75,1.0,118052810.59613334,248696914.2878427
1,2,10,,1.0,0.25,139388738.95973334,265216143.7048853
1,2,10,,1.0,0.5,158201781.05206668,298968338.538298
1,2,10,,1.0,0.75,149935297.3116667,296541294.1333201
1,2,10,,1.0,1.0,150831177.4736,285935691.47677386
1,2,10,5,0.25,0.25,147820654.0566,286915813.6271546
1,2,10,5,0.25,0.5,162759272.91813335,339128342.78549886
1,2,10,5,0.25,0.75,151567480.62633333,303121930.86844325
1,2,10,5,0.25,1.0,149944252.41693333,296112720.8474354
1,2,10,5,0.5,0.25,166984069.69973335,328784630.84535635
1,2,10,5,0.5,0.5,158991445.06266668,326710966.03328174
1,2,10,5,0.5,0.75,154052322.86193332,304561106.0773925
1,2,10,5,0.5,1.0,148260962.74313328,308888756.0471396
1,2,10,5,0.75,0.25,154965586.7663333,295366455.6800054
1,2,10,5,0.75,0.5,149329732.08206666,308236383.9413041
1,2,10,5,0.75,0.75,114571639.37266666,234632438.02346015
1,2,10,5,0.75,1.0,161626238.78066668,323498609.84530103
1,2,10,5,1.0,0.25,135037875.15920004,269292779.3809679
1,2,10,5,1.0,0.5,138413609.4721333,275156005.01684475
1,2,10,5,1.0,0.75,131227087.29993331,251824429.2936104
1,2,10,5,1.0,1.0,141148716.5304,291662621.87942183
1,2,10,10,0.25,0.25,134868452.26486668,256507458.58383277
1,2,10,10,0.25,0.5,144432358.17126667,274592004.3342821
1,2,10,10,0.25,0.75,149893767.9852667,295831512.69329476
1,2,10,10,0.25,1.0,157738925.2988667,329844260.583288
1,2,10,10,0.5,0.25,139086007.23193333,264744166.53997248
1,2,10,10,0.5,0.5,138557519.99826667,270157692.1210724
1,2,10,10,0.5,0.75,147653927.65193334,287381072.36783206
1,2,10,10,0.5,1.0,149735391.11793333,283783931.71777534
1,2,10,10,0.75,0.25,133273185.25773335,282208972.38510656
1,2,10,10,0.75,0.5,154364136.7268,309165708.21834934
1,2,10,10,0.75,0.75,129464040.02133334,259000432.7092554
1,2,10,10,0.75,1.0,153836279.26639998,308399400.79323155
1,2,10,10,1.0,0.25,146841990.53566667,280032730.274196
1,2,10,10,1.0,0.5,158249085.24986663,305407028.57677513
1,2,10,10,1.0,0.75,144261294.18266666,308006694.6871252
1,2,10,10,1.0,1.0,159927581.7714,320639963.52933896
1,2,10,15,0.25,0.25,140653083.06173334,264137990.08878303
1,2,10,15,0.25,0.5,151399994.48173332,302567558.7701034
1,2,10,15,0.25,0.75,145415506.07373333,277933762.69232446
1,2,10,15,0.25,1.0,152555920.25733334,308229838.6591814
1,2,10,15,0.5,0.25,141851250.71046665,296253766.0330938
1,2,10,15,0.5,0.5,167153300.6536667,326475063.13238144
1,2,10,15,0.5,0.75,182689519.45393336,374983148.2144063
1,2,10,15,0.5,1.0,141379645.2742,292242805.1643057
1,2,10,15,0.75,0.25,147946522.18886667,299878980.8288449
1,2,10,15,0.75,0.5,175687379.50913334,351012478.26456267
1,2,10,15,0.75,0.75,148384709.51793334,290431619.6437489
1,2,10,15,0.75,1.0,159866644.178,329421629.93330187
1,2,10,15,1.0,0.25,148307214.0444666,305421274.692067
1,2,10,15,1.0,0.5,147648107.53239998,296607055.0022731
1,2,10,15,1.0,0.75,129132576.35853334,258935357.017833
1,2,10,15,1.0,1.0,149408267.84993336,284410276.89080644
1,2,50,,0.25,0.25,151199913.34176,301344741.81139594
1,2,50,,0.25,0.5,152236273.65941334,306160435.8275245
1,2,50,,0.25,0.75,153488624.44161335,312489185.69501436
